frname,lastobs,newcount,oldcount
Accenteur alpin,2023,3,12
Accenteur mouchet,2024,28,121
Aigle botté,2023,4,2
Aigle royal,2024,10,31
Aigrette garzette,2024,1,2
Alouette des champs,2023,40,93
Alouette lulu,2022,17,30
Autour des palombes,2023,10,13
Avocette élégante,2012,0,1
Bécasseau variable,2017,0,1
Bécasse des bois,2021,1,9
Bécassine des marais,2012,0,1
Bécassine sourde,2007,0,1
Bec-croisé des sapins,2023,40,67
Bergeronnette des ruisseaux,2024,123,170
Bergeronnette grise,2024,104,236
Bergeronnette printanière,2021,1,6
Bondrée apivore,2023,25,44
Bouscarle de Cetti,2021,4,0
Bouvreuil pivoine,2023,22,91
Bruant des roseaux,2011,0,1
Bruant fou,2023,6,53
Bruant jaune,2023,33,57
Bruant ortolan,2021,1,4
Bruant zizi,2024,53,76
Busard cendré,2022,1,3
Busard des roseaux,2021,1,2
Busard Saint-Martin,2023,3,5
Buse variable,2024,85,295
Caille des blés,2021,3,4
Canard chipeau,2022,1,0
Canard colvert,2024,116,146
Canard mandarin,2015,0,1
Canard souchet,2019,1,1
Chardonneret élégant,2024,50,119
Chevalier culblanc,2022,3,3
Chevalier gambette,2015,0,1
Chevalier guignette,2023,5,16
Chevêchette d'Europe,2022,1,1
Choucas des tours,2024,66,31
Chouette de Tengmalm,2024,9,146
Chouette hulotte,2023,41,71
Cigogne blanche,2021,1,2
Cincle plongeur (C.c.cinclus),2024,105,213
Circaète Jean-le-Blanc,2024,39,82
Cisticole des joncs,2018,0,14
Corbeau freux,2023,2,0
Corneille noire,2024,104,258
Coucou gris,2023,42,131
Crave à bec rouge,2013,0,2
Cygne tuberculé,2009,0,1
Échasse blanche,2008,0,1
Effraie des clochers,2023,1,1
Engoulevent d'Europe,2013,0,1
Épervier d'Europe,2024,43,93
Étourneau sansonnet,2024,36,66
Faisan de Colchide,2017,0,12
Faucon crécerelle,2023,43,108
Faucon d'Éléonore,2023,6,9
Faucon hobereau,2023,15,19
Faucon pèlerin,2023,4,18
Fauvette à tête noire,2024,270,425
Fauvette des jardins,2015,0,2
Fauvette grisette,2023,10,74
Fauvette mélanocéphale,2024,32,27
Fauvette passerinette,2009,0,1
Fauvette pitchou,2023,8,17
Fuligule milouin,2014,0,1
Gallinule poule-d'eau,2019,3,56
Geai des chênes,2024,152,276
Gobemouche gris,2023,16,28
Gobemouche noir,2023,50,68
Goéland leucophée,2024,10,4
Grand Corbeau,2024,98,147
Grand Cormoran,2024,25,35
Grand-duc d'Europe,2023,1,2
Grèbe castagneux,2024,10,76
Grimpereau des bois,2023,15,26
Grimpereau des jardins,2024,115,113
Grive draine,2024,66,120
Grive litorne,2023,6,20
Grive mauvis,2023,11,18
Grive musicienne,2024,95,270
Grosbec casse-noyaux,2024,40,53
Guêpier d'Europe,2023,9,4
Héron cendré,2024,87,105
Héron garde-boeufs,2023,2,0
Hibou des marais,2019,1,0
Hibou moyen-duc,2020,2,15
Hirondelle de fenêtre,2024,101,60
Hirondelle de rivage,2024,3,1
Hirondelle de rochers,2024,101,204
Hirondelle rustique,2024,45,44
Huppe fasciée,2023,6,21
Hypolaïs polyglotte,2023,13,31
Linotte mélodieuse,2021,3,3
Loriot d'Europe,2023,12,0
Martinet à ventre blanc,2023,4,1
Martinet noir,2023,86,79
Martin-pêcheur d'Europe,2024,36,70
Merle à plastron,2022,15,4
Merle noir,2024,271,696
Mésange à longue queue,2024,52,100
Mésange bleue,2024,135,197
Mésange charbonnière,2024,292,413
Mésange huppée,2024,122,138
Mésange noire,2024,150,319
Mésange nonnette,2024,42,46
Milan noir,2024,12,23
Milan royal,2024,10,14
Moineau domestique,2024,110,98
Monticole bleu,2024,2,5
Monticole de roche,2016,0,7
Mouette rieuse,2024,1,0
Niverolle alpine,2024,1,0
Oedicnème criard,2024,1,0
Perdrix rouge,2020,1,11
Petit-duc scops,2023,7,4
Pic épeiche,2024,107,182
Pic épeichette,2024,12,9
Pic noir,2024,68,155
Pic vert,2024,115,123
Pie bavarde,2024,16,22
Pie-grièche écorcheur,2023,3,9
Pie-grièche méridionale,2015,0,1
Pigeon biset domestique,2024,81,23
Pigeon colombin,2022,2,3
Pigeon ramier,2024,64,147
Pinson des arbres,2024,475,896
Pinson du Nord,2023,14,10
Pipit des arbres,2023,16,75
Pipit farlouse,2024,16,53
Pipit rousseline,2021,1,3
Pipit spioncelle,2022,2,9
Pouillot de Bonelli,2023,15,13
Pouillot fitis,2023,4,13
Pouillot siffleur,2016,0,4
Pouillot véloce,2024,125,243
Roitelet à triple bandeau,2024,114,164
Roitelet huppé,2024,44,67
Rollier d'Europe,2023,1,0
Rossignol philomèle,2023,54,84
Rougegorge familier,2024,394,730
Rougequeue à front blanc,2023,74,66
Rougequeue noir,2024,139,247
Rousserolle effarvatte,2023,1,1
Sarcelle d'hiver,2023,3,1
Serin cini,2024,112,103
Sittelle torchepot,2024,156,202
Tarier des prés,2023,4,10
Tarier pâtre,2023,6,16
Tarin des aulnes,2024,58,78
Torcol fourmilier,2022,1,3
Tourterelle des bois,2020,1,1
Tourterelle turque,2024,96,95
Traquet motteux,2023,12,39
Troglodyte mignon,2024,91,267
Vanneau huppé,2007,0,1
Vautour fauve,2024,74,95
Vautour moine,2015,0,2
Venturon montagnard,2024,7,7
Verdier d'Europe,2024,62,64
