frname,lastobs,newcount,oldcount
Accenteur mouchet,2022,8,22
Aigrette garzette,2020,1,12
Alouette des champs,2022,7,46
Alouette lulu,2020,2,7
Autour des palombes,2022,1,6
Barge à queue noire,2013,0,1
Bécasseau minute,2010,0,2
Bécasseau variable,2008,0,2
Bécasse des bois,2021,1,4
Bécassine des marais,2022,9,32
Bécassine sourde,2012,0,2
Bec-croisé des sapins,2011,0,3
Bergeronnette des ruisseaux,2022,17,101
Bergeronnette grise,2022,69,225
Bergeronnette printanière,2019,1,11
Bernache du Canada,2017,0,13
Bihoreau gris,2022,1,0
Bondrée apivore,2018,0,11
Bouvreuil pivoine,2020,1,21
Bruant des roseaux,2022,5,33
Bruant jaune,2022,22,186
Bruant proyer,2022,2,5
Busard des roseaux,2020,3,7
Busard pâle,2013,0,2
Busard Saint-Martin,2022,4,23
Buse variable,2022,177,419
Caille des blés,2014,0,1
Canard chipeau,2021,7,82
Canard colvert,2023,141,493
Canard mandarin,2009,0,1
Canard pilet,2021,1,11
Canard siffleur,2021,3,62
Canard souchet,2021,4,80
Chardonneret élégant,2022,22,88
Chevalier aboyeur,2010,0,1
Chevalier arlequin,2013,0,3
Chevalier culblanc,2022,10,10
Chevalier guignette,2021,8,14
Chevêche d'Athéna,2022,9,20
Choucas des tours,2022,3,16
Chouette hulotte,2021,4,15
Cigogne blanche,2022,108,47
Cigogne noire,2021,4,6
Cincle plongeur,2018,0,26
Combattant varié,2012,0,4
Corbeau freux,2022,10,24
Corneille noire,2022,99,226
Coucou gris,2022,15,22
Courlis cendré,2014,0,6
Crabier chevelu,2014,0,7
Cygne chanteur,2019,0,30
Cygne tuberculé,2023,188,471
Effraie des clochers,2022,3,13
Engoulevent d'Europe,2010,0,2
Épervier d'Europe,2022,11,51
Étourneau sansonnet,2022,72,150
Faisan de Colchide,2022,5,11
Faucon crécerelle,2023,97,237
Faucon émerillon,2013,0,3
Faucon hobereau,2020,4,11
Faucon kobez,2012,0,1
Faucon pèlerin,2020,3,33
