frname,lastobs,newcount,oldcount
Accenteur mouchet,2023,45,128
Aigrette garzette,2022,1,9
Alouette des champs,2022,8,13
Alouette lulu,2017,0,1
Autour des palombes,2019,1,0
Bécasse des bois,2021,2,4
Bécassine des marais,2019,0,6
Bec-croisé des sapins,2019,0,1
Bergeronnette des ruisseaux,2022,4,18
Bergeronnette flavéole (M.f.flavissima),2019,1,3
Bergeronnette grise,2021,13,24
Bergeronnette printanière,2023,6,7
Bernache du Canada,2019,1,0
Bondrée apivore,2019,2,1
Bouscarle de Cetti,2019,3,4
Bouvreuil pivoine,2021,7,19
Bruant des roseaux,2019,2,3
Bruant jaune,2022,7,16
Bruant proyer,2019,1,1
Bruant zizi,2019,3,3
Busard des roseaux,2019,1,0
Busard Saint-Martin,2019,1,3
Buse variable,2023,10,19
Butor étoilé,2019,1,0
Caille des blés,2019,4,4
Canard chipeau,2019,1,3
Canard colvert,2023,4,15
Canard siffleur,2017,0,3
Canard souchet,2019,1,5
Chardonneret élégant,2023,35,97
Chevalier culblanc,2023,2,5
Chevalier guignette,2021,1,0
Chevêche d'Athéna,2019,4,8
Choucas des tours,2022,2,8
Chouette hulotte,2019,1,12
Cigogne blanche,2021,2,1
Cigogne noire,2019,1,0
Cisticole des joncs,2019,2,0
Corbeau freux,2023,7,15
Corneille noire,2023,18,22
Coucou gris,2019,3,5
Cygne noir,2018,0,1
Cygne tuberculé,2019,1,7
Échasse blanche,2019,1,1
Effraie des clochers,2022,6,15
Épervier d'Europe,2021,6,17
Étourneau sansonnet,2023,19,43
Faisan de Colchide,2022,5,11
Faucon crécerelle,2021,5,18
Faucon hobereau,2019,1,0
Faucon pèlerin,2018,0,1
Fauvette à tête noire,2022,20,17
Fauvette babillarde,2019,2,4
Fauvette des jardins,2019,4,6
Fauvette grisette,2021,6,9
Foulque macroule,2019,1,12
Fuligule milouin,2019,0,5
Fuligule morillon,2019,0,7
Gallinule poule-d'eau,2021,3,18
Geai des chênes,2023,12,23
Gobemouche gris,2022,14,13
Goéland argenté,2022,5,8
Goéland brun,2018,0,3
Goéland cendré,2021,2,10
Goéland marin,2017,0,2
Gorgebleue à miroir,2019,2,0
Grand Cormoran,2022,3,6
Grande Aigrette,2020,2,4
Grèbe castagneux,2019,2,11
Grèbe huppé,2019,2,8
Grimpereau des jardins,2023,14,34
Grive draine,2022,14,26
Grive litorne,2021,1,12
Grive mauvis,2023,3,14
Grive musicienne,2023,25,41
Grosbec casse-noyaux,2022,6,10
Harelde boréale,2017,0,1
Héron cendré,2019,0,6
Héron garde-boeufs,2017,0,2
Hibou moyen-duc,2021,3,2
Hirondelle de fenêtre,2021,6,7
Hirondelle de rivage,2019,1,0
Hirondelle rustique,2023,16,13
Huppe fasciée,2019,1,0
Hypolaïs polyglotte,2022,6,8
Linotte mélodieuse,2022,28,30
Locustelle luscinioïde,2019,2,1
Locustelle tachetée,2019,4,4
Loriot d'Europe,2019,1,2
Macreuse brune,2017,0,1
Marouette ponctuée,2019,1,0
Martinet noir,2023,18,23
Martin-pêcheur d'Europe,2019,2,6
Merle noir,2023,96,182
Mésange à longue queue,2023,11,35
Mésange bleue,2023,71,185
Mésange charbonnière,2023,77,177
Mésange huppée,2020,20,35
Mésange noire,2019,2,12
Mésange nonnette,2023,32,110
Moineau domestique,2023,84,168
Mouette rieuse,2021,2,12
Oie cendrée,2017,0,1
Panure à moustaches,2019,1,0
Perdrix grise,2019,1,4
Perdrix rouge,2018,0,2
Perruche à collier,2019,0,1
Petit Gravelot,2019,1,0
Phragmite des joncs,2019,3,4
Pic épeiche,2023,10,22
Pic épeichette,2023,5,4
Pic mar,2019,1,1
Pic noir,2019,2,6
Pic vert,2023,20,35
Pie bavarde,2023,22,23
Pie-grièche écorcheur,2019,4,3
Pigeon biset domestique,2021,3,12
Pigeon colombin,2021,1,7
Pigeon ramier,2023,46,81
Pinson des arbres,2023,80,177
Pinson du Nord,2023,2,11
Pipit des arbres,2019,1,4
Pipit farlouse,2021,6,10
Pipit spioncelle,2019,0,4
Plongeon imbrin,2018,0,2
Pluvier doré,2019,0,3
Pouillot fitis,2009,0,1
Pouillot siffleur,2019,1,0
Pouillot véloce,2022,14,22
Râle d'eau,2019,1,0
Râle des genêts,2019,1,0
Roitelet à triple bandeau,2021,3,11
Roitelet huppé,2021,10,30
Rougegorge familier,2023,84,116
Rougequeue à front blanc,2019,5,9
Rougequeue noir,2022,10,10
Rousserolle effarvatte,2019,2,2
Rousserolle verderolle,2019,3,6
Sarcelle d'été,2019,1,1
Sarcelle d'hiver,2019,0,5
Serin cini,2021,3,6
Sittelle torchepot,2023,17,36
Sizerin cabaret,2018,0,1
Sizerin flammé,2018,0,1
Tadorne de Belon,2019,0,2
Tarier des prés,2019,1,0
Tarier pâtre,2019,5,7
Tarin des aulnes,2021,2,20
Tourterelle des bois,2019,2,3
Tourterelle turque,2023,72,122
Troglodyte mignon,2023,22,35
Vanneau huppé,2021,3,10
Verdier d'Europe,2023,38,103
