frname,lastobs,newcount,oldcount
Accenteur mouchet,2022,15,25
Aigrette garzette,2015,0,1
Alouette des champs,2022,134,52
Alouette lulu,2022,20,14
Autour des palombes,2020,1,1
Bécasse des bois,2020,1,0
Bécassine des marais,2015,0,8
Bergeronnette des ruisseaux,2021,13,26
Bergeronnette grise,2022,19,45
Bergeronnette printanière,2021,8,12
Bihoreau gris,2020,1,0
Bondrée apivore,2013,0,4
Bouscarle de Cetti,2009,0,1
Bouvreuil pivoine,2017,0,3
Bruant des roseaux,2022,2,9
Bruant jaune,2022,4,13
Bruant proyer,2022,19,10
Bruant zizi,2022,23,34
Busard cendré,2022,7,7
Busard des roseaux,2021,2,1
Busard Saint-Martin,2022,13,54
Buse variable,2022,99,114
Caille des blés,2020,2,11
Canard chipeau,2019,1,0
Canard colvert,2022,34,36
Chardonneret élégant,2022,26,49
Chevalier aboyeur,2016,0,3
Chevalier culblanc,2021,1,18
Chevalier guignette,2021,5,6
Chevêche d'Athéna,2021,28,58
Choucas des tours,2022,10,24
Chouette hulotte,2022,20,31
Cigogne blanche,2021,3,2
Cigogne noire,2020,1,2
Cincle plongeur,2017,0,1
Circaète Jean-le-Blanc,2021,2,6
Cisticole des joncs,2021,1,0
Cochevis huppé,2013,0,5
Corbeau freux,2022,4,27
Corneille noire,2022,99,45
Coucou gris,2022,33,32
Courlis cendré,2016,0,2
Cygne tuberculé,2013,0,4
Effraie des clochers,2022,18,46
Élanion blanc,2021,9,8
Engoulevent d'Europe,2020,1,6
Épervier d'Europe,2022,12,16
Étourneau sansonnet,2022,73,50
Faisan de Colchide,2022,16,26
Faisan vénéré,2017,0,1
Faucon crécerelle,2022,49,60
Faucon émerillon,2013,0,5
Faucon hobereau,2021,2,5
Faucon pèlerin,2021,2,3
Fauvette à tête noire,2022,55,45
Fauvette des jardins,2019,1,1
Fauvette grisette,2022,22,19
Fauvette pitchou,2020,1,0
Foulque macroule,2021,11,43
Fuligule milouin,2020,1,3
Gallinule poule-d'eau,2022,14,27
Geai des chênes,2022,63,53
Gobemouche gris,2021,4,5
Gobemouche noir,2019,3,1
Grand Cormoran,2022,12,28
Grande Aigrette,2021,21,32
Grèbe castagneux,2021,1,12
Grèbe huppé,2020,1,3
Grimpereau des jardins,2022,24,28
Grive draine,2021,13,25
Grive litorne,2022,2,8
Grive mauvis,2010,0,3
Grive musicienne,2022,52,28
Grosbec casse-noyaux,2021,4,9
Guêpier d'Europe,2021,11,44
Héron cendré,2022,38,78
Héron garde-boeufs,2021,3,5
Héron pourpré,2021,2,14
Hibou des marais,2014,0,1
Hibou moyen-duc,2020,1,4
Hirondelle de fenêtre,2022,10,36
Hirondelle de rivage,2021,1,7
Hirondelle rustique,2022,38,64
Huppe fasciée,2022,9,8
Hypolaïs polyglotte,2022,8,13
Linotte mélodieuse,2022,17,29
Locustelle tachetée,2009,0,1
Loriot d'Europe,2022,32,36
Martinet noir,2022,9,12
Martin-pêcheur d'Europe,2022,28,36
Merle à plastron,2019,1,0
Merle noir,2022,169,88
Mésange à longue queue,2022,25,23
Mésange bleue,2022,76,67
Mésange charbonnière,2022,91,87
Mésange huppée,2013,0,2
Mésange noire,2017,0,4
Mésange nonnette,2017,0,14
Milan noir,2021,5,14
Milan royal,2021,3,2
Moineau domestique,2022,86,57
Mouette rieuse,2021,1,1
Oedicnème criard,2020,2,35
Oie cendrée,2013,0,1
Perdrix grise,2022,2,4
Perdrix rouge,2021,2,6
Petit-duc scops,2017,0,2
Pic épeiche,2022,60,63
Pic épeichette,2021,5,8
Pic mar,2021,1,0
Pic noir,2022,7,6
Pic vert,2022,49,58
Pie bavarde,2021,19,33
Pie-grièche à tête rousse,2012,0,3
Pie-grièche écorcheur,2022,31,24
Pigeon biset domestique,2021,7,9
Pigeon colombin,2019,1,4
Pigeon ramier,2022,146,85
Pinson des arbres,2022,116,116
Pinson du Nord,2022,20,7
Pipit des arbres,2022,24,14
Pipit farlouse,2022,25,24
Pluvier doré,2021,3,11
Pouillot de Bonelli,2014,0,1
Pouillot fitis,2022,3,3
Pouillot siffleur,2009,0,1
Pouillot véloce,2022,30,37
Roitelet à triple bandeau,2022,4,19
Roitelet huppé,2013,0,3
Rossignol philomèle,2022,29,22
Rougegorge familier,2022,117,79
Rougequeue à front blanc,2021,3,11
Rougequeue noir,2022,23,29
Rousserolle effarvatte,2016,0,4
Sarcelle d'hiver,2013,0,3
Serin cini,2021,8,7
Sittelle torchepot,2022,19,24
Tarier des prés,2014,0,2
Tarier pâtre,2022,33,40
Tarin des aulnes,2016,0,5
Tourterelle des bois,2022,31,29
Tourterelle turque,2022,38,34
Traquet motteux,2021,4,2
Troglodyte mignon,2022,24,44
Vanneau huppé,2022,2,40
Verdier d'Europe,2022,23,34
