frname,lastobs,newcount,oldcount
Accenteur mouchet,2023,73,25
Aigrette garzette,2021,3,0
Alouette des champs,2022,3,2
Bécasse des bois,2023,5,2
Bécassine des marais,2023,5,0
Bergeronnette des ruisseaux,2022,13,3
Bergeronnette grise,2023,16,12
Bergeronnette printanière,2014,0,1
Bondrée apivore,2021,1,0
Bouscarle de Cetti,2021,1,0
Bouvreuil pivoine,2022,4,10
Bruant des roseaux,2022,2,1
Bruant jaune,2022,4,1
Bruant zizi,2023,22,2
Busard Saint-Martin,2022,2,0
Buse variable,2023,74,18
Canard colvert,2023,45,1
Canard siffleur,2023,1,0
Canard souchet,2022,1,0
Chardonneret élégant,2023,38,17
Chevalier culblanc,2022,2,1
Chevalier guignette,2021,2,0
Choucas des tours,2023,26,35
Chouette hulotte,2022,11,2
Cigogne blanche,2023,5,0
Corbeau freux,2023,42,30
Corneille noire,2023,68,39
Coucou gris,2022,8,1
Courlis cendré,2022,1,1
Effraie des clochers,2023,9,0
Épervier d'Europe,2023,8,6
Étourneau sansonnet,2023,46,29
Faisan de Colchide,2022,4,1
Faucon crécerelle,2023,21,7
Faucon hobereau,2021,1,0
Fauvette à tête noire,2022,45,22
Fauvette des jardins,2022,7,1
Foulque macroule,2023,9,1
Fuligule milouin,2022,2,0
Fuligule morillon,2022,1,0
Gallinule poule-d'eau,2023,23,1
Geai des chênes,2023,80,40
Gobemouche gris,2022,10,6
Gobemouche noir,2021,1,0
Goéland argenté,2023,22,18
Goéland brun,2022,1,0
Goéland cendré,2023,3,0
Grand Cormoran,2023,8,0
Grande Aigrette,2023,6,0
Grand Gravelot,2022,1,0
Grèbe castagneux,2023,17,1
Grèbe huppé,2022,1,0
Grimpereau des jardins,2023,41,22
Grive draine,2023,31,15
Grive litorne,2023,9,3
Grive mauvis,2023,32,14
Grive musicienne,2023,77,38
Grosbec casse-noyaux,2017,0,2
Héron cendré,2023,15,5
Héron garde-boeufs,2023,13,0
Hibou moyen-duc,2022,1,0
Hirondelle de fenêtre,2022,16,2
Hirondelle rustique,2022,31,14
Huîtrier pie,2022,1,0
Huppe fasciée,2022,2,1
Hypolaïs polyglotte,2022,3,1
Linotte mélodieuse,2022,23,7
Loriot d'Europe,2022,13,1
Martinet noir,2022,15,4
Martin-pêcheur d'Europe,2022,3,2
Merle noir,2023,132,46
Mésange à longue queue,2023,33,17
Mésange bleue,2023,87,42
Mésange charbonnière,2023,111,44
Mésange huppée,2022,2,2
Mésange noire,2021,1,0
Mésange nonnette,2022,12,4
Moineau domestique,2023,87,20
Mouette rieuse,2023,32,17
Perdrix grise,2021,1,0
Perdrix rouge,2022,3,0
Perruche à collier,2022,3,0
Petit Gravelot,2022,1,0
Phragmite des joncs,2009,0,1
Pic épeiche,2023,61,31
Pic épeichette,2022,1,6
Pic mar,2023,12,1
Pic noir,2023,4,0
Pic vert,2023,60,35
Pie bavarde,2023,32,19
Pigeon biset domestique,2023,10,5
Pigeon ramier,2023,107,45
Pinson des arbres,2023,133,47
Pinson du Nord,2022,13,2
Pipit farlouse,2023,15,7
Pluvier doré,2022,4,0
Pouillot fitis,2021,1,0
Pouillot véloce,2023,82,36
Roitelet à triple bandeau,2023,18,11
Roitelet huppé,2023,3,6
Rougegorge familier,2023,152,49
Rougequeue à front blanc,2022,1,1
Rougequeue noir,2022,12,4
Rousserolle effarvatte,2009,0,1
Sarcelle d'hiver,2022,2,0
Serin cini,2009,0,1
Sittelle torchepot,2023,32,13
Tadorne de Belon,2023,22,0
Tarier pâtre,2022,15,0
Tarin des aulnes,2023,13,1
Tourterelle des bois,2022,8,2
Tourterelle turque,2023,23,20
Troglodyte mignon,2023,88,44
Vanneau huppé,2023,14,0
Verdier d'Europe,2023,37,30
