frname,lastobs,newcount,oldcount
Accenteur alpin,2022,7,21
Accenteur mouchet,2022,44,72
Aigle royal,2022,19,74
Alouette des champs,2013,0,1
Alouette lulu,2020,1,0
Autour des palombes,2021,8,10
Bécasse des bois,2022,10,14
Bec-croisé des sapins,2022,106,176
Bergeronnette des ruisseaux,2022,28,59
Bergeronnette grise,2022,57,99
Bergeronnette printanière,2020,1,6
Bondrée apivore,2020,5,18
Bouscarle de Cetti,2021,1,0
Bouvreuil pivoine,2022,124,256
Bruant fou,2021,3,3
Bruant jaune,2022,43,53
Bruant zizi,2017,0,1
Busard Saint-Martin,2015,0,2
Buse variable,2022,80,133
Canard colvert,2022,7,18
Cassenoix moucheté,2022,83,222
Chardonneret élégant,2022,38,115
Chevalier guignette,2021,1,0
Chevêchette d'Europe,2022,62,63
Chocard à bec jaune,2021,6,23
Chouette de Tengmalm,2022,29,31
Chouette hulotte,2022,45,61
Cincle plongeur,2022,26,44
Circaète Jean-le-Blanc,2011,0,1
Corneille noire,2022,16,52
Coucou gris,2022,13,20
Épervier d'Europe,2022,16,37
Étourneau sansonnet,2022,2,2
Faisan de Colchide,2017,0,1
Faucon crécerelle,2021,16,35
Faucon hobereau,2021,1,2
Faucon pèlerin,2021,1,4
Fauvette à tête noire,2022,168,222
Fauvette babillarde,2021,6,17
Fauvette des jardins,2021,4,9
Geai des chênes,2022,120,177
Gélinotte des bois,2022,37,78
Gobemouche gris,2022,6,11
Gobemouche noir,2021,14,21
Grand Corbeau,2022,37,50
Grand Cormoran,2021,1,0
Grimpereau des bois,2022,209,215
Grimpereau des jardins,2022,5,6
Grive draine,2022,196,179
Grive litorne,2021,7,8
Grive mauvis,2016,0,1
Grive musicienne,2022,161,245
Grosbec casse-noyaux,2021,18,16
Guêpier d'Europe,2014,0,1
Héron cendré,2021,7,10
Hibou moyen-duc,2022,2,0
Hirondelle de fenêtre,2021,18,43
Hirondelle de rochers,2022,43,58
Hirondelle rustique,2021,9,22
Lagopède alpin,2022,12,33
Linotte mélodieuse,2022,5,7
Loriot d'Europe,2013,0,1
Martinet à ventre blanc,2015,0,1
Martinet noir,2021,11,35
Merle à plastron,2022,29,52
Merle noir,2022,141,189
Mésange à longue queue,2022,26,60
Mésange bleue,2022,79,237
Mésange boréale,2022,186,215
Mésange charbonnière,2022,116,204
Mésange huppée,2022,235,343
Mésange noire,2022,373,545
Mésange nonnette,2022,36,137
Milan noir,2014,0,1
Milan royal,2011,0,1
Moineau domestique,2021,6,19
Monticole de roche,2021,3,16
Niverolle alpine,2015,0,4
Perdrix bartavelle,2018,0,2
Pic épeiche,2022,158,236
Pic épeichette,2013,0,1
Pic noir,2022,102,210
Pic vert,2022,29,96
Pie bavarde,2012,0,4
Pie-grièche écorcheur,2021,17,46
Pigeon ramier,2022,97,95
Pinson des arbres,2022,384,447
Pinson du Nord,2022,26,60
Pipit des arbres,2021,15,47
Pipit farlouse,2020,1,3
Pipit spioncelle,2022,18,55
Pouillot de Bonelli,2020,1,5
Pouillot fitis,2012,0,1
Pouillot siffleur,2009,0,2
Pouillot véloce,2022,122,150
Roitelet à triple bandeau,2022,94,124
Roitelet huppé,2022,122,169
Rossignol philomèle,2015,0,1
Rougegorge familier,2022,199,255
Rougequeue à front blanc,2020,4,11
Rougequeue noir,2022,101,212
Serin cini,2022,19,12
Sittelle torchepot,2022,92,210
Sizerin cabaret,2021,8,37
Sizerin flammé,2021,8,38
Tarier des prés,2021,2,15
Tarin des aulnes,2021,104,95
Tétras lyre,2022,84,66
Tichodrome échelette,2011,0,1
Torcol fourmilier,2022,2,0
Traquet motteux,2022,8,22
Troglodyte mignon,2022,181,280
Vautour fauve,2021,6,34
Vautour moine,2012,0,2
Venturon montagnard,2021,3,11
Verdier d'Europe,2019,1,4
