frname,lastobs,newcount,oldcount
Accenteur mouchet,2021,5,17
Aigle botté,2016,0,1
Aigrette garzette,2022,2,9
Alouette calandre,2009,0,17
Alouette calandrelle,2010,0,3
Alouette des champs,2022,84,42
Alouette lulu,2023,238,99
Autour des palombes,2021,3,0
Bécasse des bois,2012,0,3
Bec-croisé des sapins,2022,4,1
Bergeronnette des ruisseaux,2023,10,21
Bergeronnette grise,2023,20,16
Bergeronnette printanière,2020,2,7
Bihoreau gris,2021,1,3
Bondrée apivore,2022,19,14
Bouscarle de Cetti,2023,37,24
Bruant des roseaux,2021,8,26
Bruant fou,2019,1,0
Bruant proyer,2023,29,20
Bruant zizi,2023,112,73
Busard cendré,2013,0,1
Busard des roseaux,2023,8,7
Busard Saint-Martin,2022,3,4
Buse variable,2023,91,68
Caille des blés,2021,3,7
Canard colvert,2022,15,21
Chardonneret élégant,2023,92,158
Chevalier culblanc,2023,1,0
Chevalier guignette,2022,3,1
Chevêche d'Athéna,2022,12,11
Choucas des tours,2022,40,32
Chouette hulotte,2023,19,15
Cigogne blanche,2020,1,5
Cigogne noire,2022,1,1
Cincle plongeur,2020,2,1
Circaète Jean-le-Blanc,2022,28,24
Cisticole des joncs,2023,23,4
Cochevis huppé,2022,6,7
Corbeau freux,2022,2,6
Corneille noire,2023,81,100
Coucou geai,2019,1,0
Coucou gris,2023,18,14
Crabier chevelu,2020,1,0
Effraie des clochers,2016,0,4
Engoulevent d'Europe,2022,5,3
Épervier d'Europe,2023,26,31
Etourneau roselin,2014,0,3
Étourneau sansonnet,2023,63,99
Faisan de Colchide,2022,21,30
Faucon crécerelle,2023,86,211
Faucon d'Eléonore,2020,1,1
Faucon émerillon,2010,0,2
Faucon hobereau,2022,20,12
Faucon kobez,2021,3,8
Faucon pèlerin,2021,1,0
Fauvette à tête noire,2023,93,92
Fauvette grisette,2021,2,1
Fauvette mélanocéphale,2022,57,42
Fauvette passerinette,2023,21,4
Fauvette pitchou,2021,1,3
Gallinule poule-d'eau,2023,8,4
Geai des chênes,2023,96,107
Gobemouche gris,2020,1,2
Gobemouche noir,2022,28,52
Goéland leucophée,2022,2,6
Grand Corbeau,2022,9,5
Grand Cormoran,2022,6,10
Grand-duc d'Europe,2014,0,2
Grande Aigrette,2021,1,1
Grimpereau des jardins,2023,64,39
Grive draine,2023,66,37
Grive litorne,2023,24,33
Grive mauvis,2023,7,7
Grive musicienne,2023,29,40
Grosbec casse-noyaux,2023,6,20
Guêpier d'Europe,2022,55,126
Héron cendré,2023,19,52
Héron garde-boeufs,2021,1,0
Héron pourpré,2022,2,0
Hibou moyen-duc,2016,0,1
Hirondelle de fenêtre,2022,9,22
Hirondelle de rivage,2021,1,0
Hirondelle rustique,2023,71,93
Huppe fasciée,2022,82,150
Hypolaïs polyglotte,2022,32,9
Linotte mélodieuse,2023,22,31
Loriot d'Europe,2022,32,47
Martinet à ventre blanc,2022,8,10
Martinet noir,2022,43,91
Martin-pêcheur d'Europe,2022,17,32
Merle noir,2023,70,60
Mésange à longue queue,2023,34,18
Mésange bleue,2023,92,106
Mésange charbonnière,2023,143,194
Mésange huppée,2023,45,10
Mésange noire,2022,5,0
Mésange nonnette,2014,0,1
Milan noir,2022,67,31
Milan royal,2022,15,6
Moineau domestique,2023,37,105
Moineau friquet,2021,7,12
Mouette rieuse,2020,1,2
Oedicnème criard,2023,65,106
Oie cendrée,2021,1,0
Outarde canepetière,2023,115,67
Perdrix grise,2014,0,1
Perdrix rouge,2022,25,62
Petit-duc scops,2023,22,86
Pic épeiche,2023,66,44
Pic épeichette,2012,0,7
Pic noir,2019,1,2
Pic vert,2023,76,87
Pie bavarde,2023,81,163
Pie-grièche à tête rousse,2022,7,17
Pie-grièche écorcheur,2022,8,16
Pie-grièche grise,2011,0,2
Pigeon biset domestique,2023,6,9
Pigeon colombin,2019,1,0
Pigeon ramier,2023,120,122
Pinson des arbres,2023,127,130
Pinson du Nord,2023,8,28
Pipit des arbres,2022,22,13
Pipit farlouse,2023,22,19
Pipit rousseline,2022,56,24
Pipit spioncelle,2023,1,1
Pouillot de Bonelli,2022,17,10
Pouillot fitis,2022,10,6
Pouillot siffleur,2017,0,1
Pouillot véloce,2023,34,31
Râle d'eau,2015,0,1
Roitelet à triple bandeau,2022,26,19
Roitelet huppé,2020,1,1
Rollier d'Europe,2022,98,153
Rossignol philomèle,2022,93,74
Rougegorge familier,2023,171,97
Rougequeue à front blanc,2022,23,38
Rougequeue noir,2023,59,164
Rousserolle effarvatte,2021,2,1
Serin cini,2023,69,119
Sittelle torchepot,2023,11,18
Tarier des prés,2020,2,11
Tarier pâtre,2023,24,19
Tarin des aulnes,2023,16,14
Torcol fourmilier,2021,1,2
Tourterelle des bois,2022,36,54
Tourterelle turque,2023,54,45
Traquet motteux,2022,13,17
Troglodyte mignon,2023,27,23
Vanneau huppé,2022,3,11
Vautour fauve,2021,5,2
Venturon montagnard,2021,1,0
Verdier d'Europe,2023,42,85
