frname,lastobs,newcount,oldcount
Accenteur mouchet,2022,10,21
Aigrette garzette,2020,1,0
Alouette des champs,2022,21,52
Alouette lulu,2014,0,2
Bécasse des bois,2016,0,2
Bec-croisé des sapins,2013,0,1
Bergeronnette des ruisseaux,2019,1,9
Bergeronnette grise,2022,12,27
Bergeronnette printanière,2022,11,36
Bondrée apivore,2017,0,6
Bouvreuil pivoine,2022,1,1
Bruant des roseaux,2022,1,13
Bruant jaune,2022,13,47
Bruant proyer,2019,2,27
Busard cendré,2019,1,10
Busard des roseaux,2022,4,11
Busard Saint-Martin,2021,11,58
Buse variable,2023,69,48
Caille des blés,2017,0,3
Canard colvert,2021,11,41
Canard mandarin,2013,0,1
Canard pilet,2014,0,1
Canard siffleur,2018,0,3
Canard souchet,2007,0,1
Chardonneret élégant,2022,9,24
Chevalier culblanc,2012,0,2
Chevalier guignette,2016,0,2
Chevêche d'Athéna,2016,0,8
Choucas des tours,2022,6,20
Chouette hulotte,2018,0,9
Cigogne blanche,2009,0,2
Corbeau freux,2022,6,31
Corneille noire,2022,26,36
Coucou gris,2022,4,14
Effraie des clochers,2016,0,3
Épervier d'Europe,2022,2,9
Étourneau sansonnet,2022,22,31
Faisan de Colchide,2023,16,43
Faisan vénéré,2017,0,1
Faucon crécerelle,2022,22,37
Faucon hobereau,2018,0,5
Faucon pèlerin,2017,0,2
Fauvette à tête noire,2022,9,35
Fauvette babillarde,2012,0,2
Fauvette des jardins,2021,7,23
Fauvette grisette,2022,12,39
Foulque macroule,2021,7,30
Fuligule milouin,2019,0,1
Gallinule poule-d'eau,2021,9,41
Geai des chênes,2022,4,25
Gobemouche gris,2019,1,19
Goéland brun,2021,8,45
Goéland leucophée,2016,0,5
Gorgebleue à miroir,2018,0,8
Grand Cormoran,2022,2,17
Grande Aigrette,2020,5,29
Grèbe castagneux,2021,4,11
Grimpereau des jardins,2021,4,35
Grive draine,2022,1,17
Grive litorne,2019,1,15
Grive mauvis,2012,0,2
Grive musicienne,2022,5,25
Grosbec casse-noyaux,2016,0,1
Héron cendré,2022,13,42
Hibou moyen-duc,2012,0,7
Hirondelle de fenêtre,2022,10,27
Hirondelle rustique,2022,15,34
Hypolaïs ictérine,2015,0,2
Hypolaïs polyglotte,2021,4,17
Linotte mélodieuse,2022,14,23
Loriot d'Europe,2021,2,2
Martinet noir,2021,5,20
Martin-pêcheur d'Europe,2019,0,10
Merle noir,2022,21,52
Mésange à longue queue,2022,2,9
Mésange bleue,2022,20,23
Mésange boréale,2010,0,2
Mésange charbonnière,2022,13,39
Mésange noire,2019,1,5
Mésange nonnette,2022,1,5
Milan noir,2009,0,1
Milan royal,2016,0,2
Moineau domestique,2022,14,34
Mouette rieuse,2022,11,10
Oie cendrée,2016,0,2
Perdrix grise,2021,9,54
Perdrix rouge,2021,1,2
Pic épeiche,2022,9,22
Pic épeichette,2009,0,1
Pic vert,2022,15,32
Pie bavarde,2022,16,20
Pigeon biset domestique,2022,3,0
Pigeon biset (origine naturelle),2019,3,8
Pigeon colombin,2021,2,6
Pigeon ramier,2022,26,68
Pinson des arbres,2022,19,49
Pinson du Nord,2022,3,3
Pipit farlouse,2022,4,9
Pipit spioncelle,2010,0,2
Pluvier doré,2019,0,8
Pouillot fitis,2017,0,4
Pouillot véloce,2022,11,44
Roitelet à triple bandeau,2012,0,3
Roitelet huppé,2019,1,25
Rossignol philomèle,2021,5,7
Rougegorge familier,2022,7,37
Rougequeue noir,2022,15,29
Rousserolle effarvatte,2012,0,3
Rousserolle verderolle,2021,1,5
Serin cini,2019,0,8
Sittelle torchepot,2019,1,8
Tadorne de Belon,2021,1,3
Tarier des prés,2020,1,0
Tarier pâtre,2017,0,9
Tarin des aulnes,2016,0,5
Tourterelle des bois,2022,4,20
Tourterelle turque,2022,10,32
Traquet motteux,2023,1,13
Troglodyte mignon,2022,6,32
Vanneau huppé,2022,9,29
Verdier d'Europe,2022,5,25
