frname,lastobs,newcount,oldcount
Accenteur alpin,2022,82,69
Accenteur mouchet,2021,11,108
Aigle botté,2021,4,3
Aigle royal,2022,6,7
Alouette calandrelle,2017,0,3
Alouette des champs,2021,3,9
Alouette haussecol,2016,0,1
Alouette lulu,2022,143,267
Autour des palombes,2021,5,14
Bécasse des bois,2021,4,4
Bec-croisé des sapins,2021,12,11
Bergeronnette des ruisseaux,2021,18,122
Bergeronnette grise,2022,52,209
Bergeronnette printanière,2020,1,4
Bondrée apivore,2020,8,31
Bouscarle de Cetti,2016,0,4
Bouvreuil pivoine,2018,0,4
Bruant des neiges,2013,0,1
Bruant fou,2022,24,72
Bruant jaune,2012,0,1
Bruant ortolan,2021,32,120
Bruant proyer,2021,6,21
Bruant zizi,2022,126,299
Busard cendré,2019,1,4
Busard des roseaux,2021,2,4
Busard Saint-Martin,2021,3,4
Buse variable,2022,37,117
Caille des blés,2020,2,0
Canard colvert,2021,5,31
Canard mandarin,2010,0,2
Cassenoix moucheté,2013,0,2
Chardonneret élégant,2022,100,450
Chevalier culblanc,2018,0,1
Chevalier guignette,2018,0,1
Chocard à bec jaune,2015,0,3
Choucas des tours,2022,114,273
Chouette hulotte,2022,23,75
Cincle plongeur,2016,0,14
Circaète Jean-le-Blanc,2021,18,80
Cisticole des joncs,2009,0,2
Cochevis huppé,2018,0,1
Corneille noire,2022,109,353
Coucou gris,2021,32,105
Crave à bec rouge,2022,16,19
Engoulevent d'Europe,2021,3,14
Épervier d'Europe,2022,22,96
Étourneau sansonnet,2022,103,233
Faisan de Colchide,2020,8,25
Faucon crécerelle,2022,71,176
Faucon d'Eléonore,2020,1,0
Faucon hobereau,2021,4,10
Faucon kobez,2015,0,1
Faucon pèlerin,2022,19,15
Fauvette à lunettes,2017,0,5
Fauvette à tête noire,2022,395,647
Fauvette babillarde,2011,0,1
Fauvette des jardins,2019,1,0
Fauvette grisette,2015,0,2
Fauvette mélanocéphale,2021,58,212
Fauvette orphée,2021,11,46
Fauvette passerinette,2021,58,134
Fauvette pitchou,2022,58,85
Foulque macroule,2015,0,1
Gallinule poule-d'eau,2016,0,8
Geai des chênes,2022,135,537
Gobemouche gris,2021,14,16
Gobemouche noir,2019,2,29
Goéland leucophée,2020,3,12
Grand Corbeau,2022,144,277
Grand Cormoran,2016,0,1
Grand-duc d'Europe,2021,13,31
Grèbe castagneux,2015,0,4
Grimpereau des jardins,2022,288,622
Grive draine,2022,42,89
Grive litorne,2022,32,44
Grive mauvis,2022,4,7
Grive musicienne,2022,96,170
Grosbec casse-noyaux,2020,7,108
Guêpier d'Europe,2021,11,19
Héron cendré,2021,4,22
Héron pourpré,2014,0,2
Hibou des marais,2021,1,0
Hibou moyen-duc,2017,0,3
Hirondelle de fenêtre,2021,31,182
Hirondelle de rivage,2011,0,1
Hirondelle de rochers,2022,79,111
Hirondelle rustique,2021,73,187
Huppe fasciée,2022,18,46
Hypolaïs polyglotte,2019,1,6
Linotte mélodieuse,2021,54,149
Loriot d'Europe,2021,12,51
Martinet à ventre blanc,2021,32,64
Martinet noir,2021,66,191
Martinet pâle,2017,0,1
Martin-pêcheur d'Europe,2018,0,3
Merle à plastron,2022,22,41
Merle noir,2022,291,631
Mésange à longue queue,2022,98,304
Mésange bleue,2022,352,917
Mésange charbonnière,2022,362,788
Mésange huppée,2022,120,342
Mésange noire,2022,45,187
Milan noir,2019,2,7
Milan royal,2011,0,1
Moineau domestique,2022,86,216
Moineau friquet,2015,0,2
Monticole bleu,2017,0,8
Monticole de roche,2021,14,53
Mouette mélanocéphale,2018,0,1
Perdrix rouge,2020,6,28
Petit-duc scops,2021,11,51
Pic épeiche,2022,91,179
Pic épeichette,2022,23,57
Pic noir,2022,188,347
Pic vert,2022,161,444
Pie bavarde,2022,137,407
Pie-grièche à tête rousse,2018,0,5
Pie-grièche écorcheur,2019,1,22
Pie-grièche méridionale,2016,0,1
Pigeon biset domestique,2021,30,37
Pigeon colombin,2015,0,1
Pigeon ramier,2022,264,430
Pinson des arbres,2022,615,1211
Pinson du Nord,2022,8,16
Pipit des arbres,2021,10,22
Pipit farlouse,2021,25,94
Pipit rousseline,2021,53,190
Pipit spioncelle,2016,0,2
Pluvier doré,2015,0,1
Pluvier guignard,2021,9,38
Pouillot de Bonelli,2021,142,335
Pouillot fitis,2020,3,13
Pouillot siffleur,2019,1,2
Pouillot véloce,2021,52,213
Roitelet à triple bandeau,2022,160,351
Roitelet huppé,2022,24,45
Rollier d'Europe,2021,38,96
Rossignol philomèle,2021,86,207
Rougegorge familier,2022,550,1166
Rougequeue à front blanc,2021,67,169
Rougequeue noir,2022,150,328
Serin cini,2022,145,330
Sittelle torchepot,2022,459,874
Tarier des prés,2021,4,19
Tarier pâtre,2021,36,159
Tarin des aulnes,2022,13,147
Tichodrome échelette,2022,39,51
Torcol fourmilier,2018,0,8
Tourterelle des bois,2021,15,71
Tourterelle turque,2022,143,331
Traquet motteux,2021,48,162
Traquet oreillard,2019,2,14
Troglodyte mignon,2022,226,472
Vanneau huppé,2020,1,0
Vautour fauve,2021,5,10
Venturon montagnard,2021,1,10
Verdier d'Europe,2022,64,265
