frname,lastobs,newcount,oldcount
Accenteur alpin,2018,0,1
Accenteur mouchet,2022,3,18
Aigle botté,2022,1,22
Aigrette garzette,2020,1,0
Alouette des champs,2020,1,3
Alouette lulu,2022,20,12
Autour des palombes,2022,5,4
Bécasse des bois,2017,0,2
Bec-croisé des sapins,2007,0,1
Bergeronnette des ruisseaux,2022,49,48
Bergeronnette grise,2022,57,43
Bergeronnette printanière,2021,2,3
Bondrée apivore,2021,8,25
Bouvreuil pivoine,2022,2,12
Bruant des roseaux,2018,0,1
Bruant fou,2022,1,2
Bruant jaune,2022,2,10
Bruant proyer,2021,2,0
Bruant zizi,2022,15,15
Busard cendré,2020,1,0
Busard des roseaux,2021,1,1
Busard Saint-Martin,2013,0,1
Buse variable,2022,184,179
Caille des blés,2009,0,1
Canard colvert,2022,70,56
Canard mandarin,2020,1,1
Canard siffleur,2022,2,2
Canard souchet,2021,2,0
Chardonneret élégant,2022,40,32
Chevalier guignette,2021,2,3
Chevêche d'Athéna,2021,13,2
Choucas des tours,2021,7,9
Chouette hulotte,2021,68,6
Cigogne noire,2021,4,3
Cincle plongeur,2022,15,25
Circaète Jean-le-Blanc,2022,3,14
Corbeau freux,2008,0,1
Corneille noire,2022,78,124
Coucou gris,2022,44,44
Effraie des clochers,2022,10,1
Épervier d'Europe,2021,13,16
Étourneau sansonnet,2022,21,27
Faisan de Colchide,2021,2,1
Faucon crécerelle,2022,37,15
Faucon hobereau,2021,2,4
Faucon pèlerin,2022,30,75
Fauvette à tête noire,2022,99,91
Fauvette des jardins,2020,1,5
Fauvette grisette,2017,0,6
Geai des chênes,2022,135,135
Gobemouche gris,2021,7,4
Gobemouche noir,2021,11,6
Goéland leucophée,2018,0,5
Grand Corbeau,2022,26,62
Grand Cormoran,2022,60,43
Grand-duc d'Europe,2007,0,1
Grande Aigrette,2022,19,2
Grèbe castagneux,2021,4,0
Grèbe huppé,2016,0,1
Grimpereau des bois,2015,0,2
Grimpereau des jardins,2022,50,51
Grive draine,2022,49,43
Grive litorne,2020,1,6
Grive mauvis,2020,5,0
Grive musicienne,2022,36,55
Grosbec casse-noyaux,2022,55,27
Guêpier d'Europe,2022,4,0
Héron cendré,2022,59,37
Héron garde-boeufs,2022,1,0
Hibou moyen-duc,2019,1,0
Hirondelle de fenêtre,2022,7,13
Hirondelle de rochers,2022,34,31
Hirondelle rustique,2022,48,34
Huppe fasciée,2021,3,9
Hypolaïs polyglotte,2022,8,3
Linotte mélodieuse,2021,2,3
Loriot d'Europe,2022,12,8
Martinet noir,2022,27,34
Martin-pêcheur d'Europe,2022,15,18
Merle noir,2022,107,133
Mésange à longue queue,2022,28,40
Mésange bleue,2022,105,114
Mésange charbonnière,2022,153,155
Mésange huppée,2022,16,24
Mésange noire,2021,4,10
Mésange nonnette,2022,44,44
Milan noir,2022,90,88
Milan royal,2022,141,92
Moineau domestique,2022,53,35
Oedicnème criard,2021,1,0
Pic épeiche,2022,103,99
Pic épeichette,2021,2,7
Pic mar,2022,14,25
Pic noir,2021,12,15
Pic vert,2022,64,69
Pie bavarde,2022,30,42
Pie-grièche à tête rousse,2013,0,1
Pie-grièche écorcheur,2022,17,9
Pigeon colombin,2021,1,1
Pigeon ramier,2022,67,67
Pinson des arbres,2022,204,151
Pinson du Nord,2022,7,0
Pipit des arbres,2021,3,6
Pipit farlouse,2021,2,2
Pipit spioncelle,2022,2,0
Pouillot de Bonelli,2022,12,18
Pouillot fitis,2013,0,7
Pouillot siffleur,2020,1,9
Pouillot véloce,2022,121,82
Roitelet à triple bandeau,2022,37,39
Roitelet huppé,2021,1,12
Rossignol philomèle,2021,1,2
Rougegorge familier,2022,169,152
Rougequeue à front blanc,2022,21,7
Rougequeue noir,2022,75,34
Sarcelle d'hiver,2017,0,1
Serin cini,2022,8,7
Sittelle torchepot,2022,108,86
Tarier des prés,2022,7,4
Tarier pâtre,2022,41,16
Tarin des aulnes,2022,16,13
Tichodrome échelette,2021,1,2
Torcol fourmilier,2016,0,4
Tourterelle des bois,2022,8,3
Tourterelle turque,2022,23,33
Traquet motteux,2022,13,8
Troglodyte mignon,2022,50,47
Verdier d'Europe,2022,15,11
