frname,lastobs,newcount,oldcount
Accenteur mouchet,2019,1,57
Aigrette garzette,2022,9,40
Alouette des champs,2019,10,16
Alouette lulu,2017,0,5
Autour des palombes,2015,0,1
Bécasse des bois,2008,0,1
Bécassine des marais,2022,1,4
Bergeronnette des ruisseaux,2021,2,12
Bergeronnette grise,2022,14,82
Bergeronnette printanière,2017,0,4
Bernache du Canada,2009,0,1
Bihoreau gris,2021,2,1
Bondrée apivore,2021,2,21
Bouscarle de Cetti,2021,6,35
Bouvreuil pivoine,2020,1,19
Bruant des roseaux,2021,4,12
Bruant jaune,2009,0,1
Bruant proyer,2021,1,0
Bruant zizi,2021,8,37
Busard cendré,2021,1,4
Busard des roseaux,2022,1,10
Busard Saint-Martin,2022,1,39
Buse variable,2022,15,103
Butor étoilé,2011,0,1
Canard chipeau,2011,0,2
Canard colvert,2021,5,38
Canard pilet,2014,0,1
Chardonneret élégant,2022,18,70
Chevalier culblanc,2019,1,3
Chevalier gambette,2011,0,1
Chevalier guignette,2019,1,6
Chevêche d'Athéna,2022,7,44
Choucas des tours,2021,2,11
Chouette hulotte,2021,5,19
Cigogne blanche,2022,6,2
Cigogne noire,2011,0,1
Circaète Jean-le-Blanc,2020,2,17
Cisticole des joncs,2022,9,16
Cochevis huppé,2014,0,4
Corneille noire,2022,26,200
Coucou gris,2021,4,91
Courlis cendré,2010,0,4
Cygne tuberculé,2018,0,24
Échasse blanche,2017,0,5
Effraie des clochers,2020,1,15
Élanion blanc,2022,8,2
Engoulevent d'Europe,2018,0,12
Épervier d'Europe,2021,4,13
Étourneau sansonnet,2021,20,115
Faisan de Colchide,2021,1,32
Faucon crécerelle,2022,22,85
Faucon émerillon,2011,0,1
Faucon hobereau,2018,0,9
Fauvette à tête noire,2021,24,160
Fauvette des jardins,2021,1,1
Fauvette grisette,2017,0,12
Fauvette pitchou,2018,0,24
Foulque macroule,2018,0,10
Gallinule poule-d'eau,2020,2,15
Geai des chênes,2022,7,83
Gobemouche gris,2017,0,10
Gobemouche noir,2015,0,3
Goéland brun,2015,0,1
Goéland leucophée,2016,0,8
Grand Cormoran,2021,5,24
Grande Aigrette,2022,2,4
Grèbe castagneux,2019,1,2
Grèbe huppé,2020,1,5
Grimpereau des jardins,2022,17,74
Grive draine,2020,1,7
Grive litorne,2019,1,6
Grive mauvis,2019,1,14
Grive musicienne,2021,32,77
Grosbec casse-noyaux,2015,0,3
Guêpier d'Europe,2013,0,1
Héron cendré,2022,9,61
Héron garde-boeufs,2022,9,7
Héron pourpré,2020,4,12
Hibou moyen-duc,2018,0,1
Hirondelle de fenêtre,2020,2,11
Hirondelle de rivage,2014,0,2
Hirondelle rustique,2021,18,111
Huppe fasciée,2021,6,54
Hypolaïs polyglotte,2021,4,63
Ibis falcinelle,2017,0,1
Ibis sacré,2012,0,1
Linotte mélodieuse,2021,2,37
Locustelle tachetée,2011,0,5
Loriot d'Europe,2021,7,29
Martinet noir,2021,15,73
Martin-pêcheur d'Europe,2021,4,32
Merle noir,2022,63,222
Mésange à longue queue,2021,10,86
Mésange bleue,2022,22,107
Mésange charbonnière,2022,29,147
Mésange huppée,2020,2,14
Mésange noire,2020,1,0
Mésange nonnette,2020,1,0
Milan noir,2022,41,114
Milan royal,2011,0,2
Moineau domestique,2022,32,101
Moineau friquet,2020,1,0
Mouette rieuse,2021,1,13
Oie cendrée,2018,0,1
Perdrix rouge,2021,1,3
Petit Gravelot,2021,3,4
Pic épeiche,2022,4,95
Pic épeichette,2021,3,12
Pic noir,2021,1,1
Pic vert,2022,22,146
Pie bavarde,2022,14,103
Pie-grièche écorcheur,2020,1,7
Pigeon biset domestique,2021,2,10
Pigeon colombin,2015,0,3
Pigeon ramier,2022,33,162
Pinson des arbres,2022,46,230
Pinson du Nord,2017,0,2
Pipit des arbres,2021,2,39
Pipit farlouse,2022,2,39
Pipit rousseline,2016,0,7
Pipit spioncelle,2017,0,3
Pouillot de Bonelli,2016,0,4
Pouillot fitis,2011,0,2
Pouillot siffleur,2007,0,1
Pouillot véloce,2021,12,167
Râle d'eau,2015,0,5
Roitelet à triple bandeau,2021,4,46
Roitelet huppé,2015,0,7
Rossignol philomèle,2021,4,94
Rougegorge familier,2022,29,145
Rougequeue à front blanc,2021,8,36
Rougequeue noir,2022,12,63
Rousserolle effarvatte,2018,0,4
Serin cini,2022,13,68
Sittelle torchepot,2022,12,46
Tadorne de Belon,2018,0,2
Tarier pâtre,2022,10,46
Tarin des aulnes,2022,2,9
Torcol fourmilier,2016,0,6
Tourterelle des bois,2016,0,22
Tourterelle turque,2022,26,82
Traquet motteux,2008,0,1
Troglodyte mignon,2022,12,143
Vanneau huppé,2021,1,12
Verdier d'Europe,2022,15,69
