frname,lastobs,newcount,oldcount
Accenteur mouchet,2023,38,23
Aigle botté,2024,157,174
Aigrette garzette,2024,434,485
Alouette calandrelle,2023,4,20
Alouette des champs,2024,121,296
Alouette lulu,2024,194,129
Autour des palombes,2023,8,23
Avocette élégante,2024,23,27
Barge à queue noire,2023,4,18
Barge rousse,2017,0,2
Bécasseau de Temminck,2023,1,1
Bécasseau minute,2023,3,1
Bécasseau sanderling,2023,1,1
Bécasseau variable,2023,10,9
Bécasse des bois,2022,1,2
Bécassine des marais,2024,32,106
Bécassine sourde,2008,0,4
Bec-croisé des sapins,2022,5,0
Bergeronnette des ruisseaux,2024,144,213
Bergeronnette grise,2024,716,646
Bergeronnette printanière,2023,87,322
Bernache du Canada,2013,0,1
Bernache nonnette,2018,0,7
Bihoreau gris,2023,12,25
Blongios nain,2016,0,5
Bondrée apivore,2023,81,186
Bouscarle de Cetti,2024,475,370
Bruant des roseaux,2024,144,221
Bruant fou,2021,2,2
Bruant jaune,2019,1,5
Bruant ortolan,2022,4,44
Bruant proyer,2024,127,205
Bruant zizi,2024,95,146
Busard cendré,2023,19,111
Busard des roseaux,2024,283,656
Busard pâle,2022,4,43
Busard Saint-Martin,2024,29,146
Buse variable,2024,586,924
Butor étoilé,2015,0,3
Caille des blés,2023,4,30
Calopsitte élégante,2022,2,0
Canard carolin,2012,0,1
Canard chipeau,2022,5,11
Canard colvert,2024,709,619
Canard de Barbarie,2023,1,0
Canard pilet,2017,0,5
Canard siffleur,2023,2,4
Canard souchet,2024,20,31
Chardonneret élégant,2024,858,873
Chevalier aboyeur,2023,27,64
Chevalier arlequin,2023,7,12
Chevalier culblanc,2024,83,146
Chevalier gambette,2023,19,53
Chevalier guignette,2024,114,48
Chevalier stagnatile,2012,0,1
Chevalier sylvain,2023,11,46
Chevêche d'Athéna,2024,98,168
Choucas des tours,2024,743,654
Chouette hulotte,2024,116,51
Cigogne blanche,2024,181,362
Cigogne noire,2024,15,95
Cincle plongeur (C.c.cinclus),2020,2,0
Circaète Jean-le-Blanc,2024,131,263
Cisticole des joncs,2024,573,534
Cochevis huppé,2024,299,236
Combattant varié,2023,3,19
Corbeau freux,2024,348,165
Corneille noire,2024,236,261
Coucou geai,2024,81,337
Coucou gris,2023,12,27
Courlis cendré,2017,0,17
Courlis corlieu,2022,3,12
Crabier chevelu,2023,9,22
Cygne noir,2021,1,2
Cygne tuberculé,2024,14,49
Échasse blanche,2024,71,140
Effraie des clochers,2023,6,20
Élanion blanc,2022,2,3
Engoulevent d'Europe,2023,9,16
Épervier d'Europe,2024,195,438
Érismature rousse,2010,0,4
Étourneau roselin,2021,1,0
Étourneau sansonnet,2024,1515,917
Étourneau unicolore,2022,1,2
Faisan de Colchide,2023,27,29
Faucon crécerelle,2024,718,968
Faucon crécerellette,2023,2,40
Faucon d'Éléonore,2022,4,27
Faucon émerillon,2022,4,62
Faucon hobereau,2023,26,154
Faucon kobez,2023,8,78
Faucon pèlerin,2023,19,63
Fauvette à lunettes,2016,0,3
Fauvette à tête noire,2024,595,413
Fauvette de Moltoni,2015,0,1
Fauvette des jardins,2019,2,6
Fauvette grisette,2023,21,34
Fauvette mélanocéphale,2024,1680,831
Fauvette orphée,2022,1,1
Fauvette pitchou,2023,11,19
Flamant rose,2024,43,64
Foulque macroule,2024,270,266
Fuligule milouin,2023,8,10
Fuligule morillon,2024,43,50
Gallinule poule-d'eau,2024,302,361
Geai des chênes,2024,172,170
Glaréole à collier,2022,2,16
Gobemouche gris,2023,34,34
Gobemouche noir,2023,94,113
Goéland brun,2023,21,70
Goéland cendré,2012,0,5
Goéland d'Audouin,2017,0,4
Goéland leucophée,2024,908,361
Goéland railleur,2016,0,3
Gorgebleue à miroir,2023,7,10
Grand Corbeau,2024,15,49
Grand Cormoran,2024,326,569
Grand-duc d'Europe,2023,4,2
Grande Aigrette,2024,106,130
Grand Gravelot,2023,8,8
Gravelot à collier interrompu,2023,12,11
Grèbe à cou noir,2021,3,7
Grèbe castagneux,2024,53,41
Grèbe huppé,2024,196,195
Grèbe jougris,2021,5,0
Grimpereau des jardins,2024,259,143
Grive draine,2024,78,209
Grive litorne,2018,0,15
Grive mauvis,2023,12,17
Grive musicienne,2024,180,186
Grosbec casse-noyaux,2022,4,37
Guêpier d'Europe,2023,319,462
Guifette leucoptère,2022,9,0
Guifette moustac,2023,13,36
Guifette noire,2023,14,15
Harle bièvre,2015,0,7
Héron cendré,2024,404,450
Héron garde-boeufs,2024,177,259
Héron pourpré,2023,14,96
Hibou des marais,2022,1,22
Hibou moyen-duc,2024,92,74
Hirondelle de fenêtre,2024,325,567
Hirondelle de rivage,2023,70,220
Hirondelle de rochers,2024,172,360
Hirondelle rousseline,2023,26,118
Hirondelle rustique,2024,535,613
Huîtrier pie,2020,1,1
Huppe fasciée,2024,311,588
Hypolaïs ictérine,2015,0,1
Hypolaïs polyglotte,2023,65,93
Ibis falcinelle,2024,37,52
Inséparable de Fischer,2023,1,1
Linotte mélodieuse,2024,333,446
Locustelle luscinioïde,2019,1,0
Locustelle tachetée,2022,9,60
Loriot d'Europe,2023,167,227
Lusciniole à moustaches,2021,1,1
Marouette ponctuée,2019,2,1
Martinet à ventre blanc,2024,112,213
Martinet noir,2023,513,525
Martinet pâle,2024,363,600
Martin-pêcheur d'Europe,2024,135,212
Merle à plastron,2021,4,11
Merle noir,2024,1093,523
Mésange à longue queue,2024,63,38
Mésange bleue,2024,632,504
Mésange charbonnière,2024,1199,809
Mésange huppée,2024,101,56
Mésange noire,2022,18,39
Mésange nonnette,2023,1,0
Milan noir,2024,288,559
Milan royal,2024,111,300
Moineau domestique,2024,1499,712
Moineau friquet,2024,560,396
Moineau soulcie,2023,15,3
Monticole bleu,2013,0,1
Monticole de roche,2022,1,0
Mouette mélanocéphale,2023,6,45
