frname,lastobs,newcount,oldcount
Accenteur mouchet,2022,264,465
Aigle botté,2019,2,1
Aigrette garzette,2022,67,291
Alouette des champs,2022,838,972
Alouette lulu,2022,11,9
Autour des palombes,2021,5,12
Avocette élégante,2008,0,1
Barge à queue noire,2020,2,1
Bécasseau maubèche,2015,0,1
Bécasseau variable,2021,1,3
Bécasse des bois,2021,5,17
Bécassine des marais,2022,35,79
Bécassine sourde,2018,0,5
Bergeronnette des ruisseaux,2022,42,90
Bergeronnette flavéole (M.f.flavissima),2022,3,2
Bergeronnette grise,2022,157,333
Bergeronnette printanière,2022,131,242
Bernache du Canada,2015,0,6
Bihoreau gris,2021,4,6
Bondrée apivore,2022,29,48
Bouscarle de Cetti,2022,190,103
Bouvreuil pivoine,2020,2,3
Bruant des neiges,2021,1,0
Bruant des roseaux,2022,51,333
Bruant jaune,2022,28,86
Bruant ortolan,2012,0,1
Bruant proyer,2022,648,715
Bruant zizi,2022,236,311
Busard cendré,2022,288,586
Busard des roseaux,2022,483,666
Busard Saint-Martin,2022,312,954
Buse variable,2022,694,1000
Butor étoilé,2018,0,3
Caille des blés,2022,92,164
Calopsitte élégante,2022,2,0
Canard chipeau,2013,0,7
Canard colvert,2022,216,317
Canard mandarin,2011,0,1
Canard pilet,2021,3,7
Canard siffleur,2011,0,2
Canard souchet,2021,1,21
Chardonneret élégant,2022,519,629
Chevalier aboyeur,2020,1,10
Chevalier arlequin,2013,0,1
Chevalier culblanc,2022,14,59
Chevalier gambette,2020,2,13
Chevalier guignette,2022,6,25
Chevêche d'Athéna,2022,142,117
Choucas des tours,2022,117,175
Chouette hulotte,2022,64,159
Cigogne blanche,2022,357,347
Cigogne noire,2021,7,14
Circaète Jean-le-Blanc,2022,25,18
Cisticole des joncs,2022,249,133
Cochevis huppé,2022,18,96
Combattant varié,2021,2,3
Corbeau freux,2022,65,137
Corneille noire,2022,917,1168
Coucou geai,2016,0,9
Coucou gris,2022,167,235
Courlis cendré,2020,2,27
Courlis corlieu,2021,4,2
Cygne noir,2019,1,0
Cygne tuberculé,2022,44,154
Échasse blanche,2018,0,2
Effraie des clochers,2022,146,232
Élanion blanc,2022,545,134
Engoulevent d'Europe,2018,0,1
Épervier d'Europe,2022,138,291
