frname,lastobs,newcount,oldcount
Accenteur mouchet,2022,10,5
Aigle botté,2021,1,1
Aigrette garzette,2020,1,1
Alouette des champs,2022,5,1
Alouette lulu,2022,3,2
Autour des palombes,2009,0,1
Bécasse des bois,2021,3,2
Bécassine des marais,2022,1,0
Bergeronnette des ruisseaux,2021,3,1
Bergeronnette grise,2022,7,3
Bergeronnette printanière,2019,1,1
Bihoreau gris,2020,1,0
Bondrée apivore,2021,2,1
Bouscarle de Cetti,2019,1,0
Bouvreuil pivoine,2021,8,3
Bruant des roseaux,2021,3,0
Bruant jaune,2022,3,1
Bruant proyer,2021,1,0
Bruant zizi,2021,3,1
Busard Saint-Martin,2021,5,2
Buse variable,2022,15,1
Caille des blés,2009,0,1
Canard colvert,2022,15,4
Chardonneret élégant,2022,12,9
Chevalier culblanc,2018,0,1
Choucas des tours,2009,0,1
Chouette hulotte,2021,9,3
Cigogne noire,2021,5,1
Circaète Jean-le-Blanc,2020,3,3
Corneille noire,2022,34,5
Coucou gris,2022,47,2
Cygne tuberculé,2022,4,1
Effraie des clochers,2021,2,2
Engoulevent d'Europe,2021,8,1
Épervier d'Europe,2021,3,1
Érismature rousse,2009,0,1
Étourneau sansonnet,2022,22,6
Faisan de Colchide,2022,8,1
Faisan vénéré,2009,0,1
Faucon crécerelle,2021,4,2
Faucon hobereau,2021,3,1
Fauvette à tête noire,2022,30,4
Fauvette des jardins,2022,3,2
Fauvette grisette,2021,6,1
Fauvette pitchou,2022,20,1
Foulque macroule,2022,9,3
Fuligule milouin,2009,0,1
Gallinule poule-d'eau,2021,3,1
Geai des chênes,2022,23,2
Gobemouche gris,2019,2,1
Gobemouche noir,2021,7,1
Grand Cormoran,2021,3,0
Grande Aigrette,2022,3,3
Grèbe castagneux,2021,2,1
Grèbe huppé,2009,0,1
Grimpereau des jardins,2022,25,5
Grive draine,2022,11,2
Grive litorne,2021,2,0
Grive mauvis,2021,2,1
Grive musicienne,2022,22,4
Grosbec casse-noyaux,2021,3,4
Héron cendré,2021,15,2
Héron garde-boeufs,2021,24,0
Héron pourpré,2021,3,0
Hibou moyen-duc,2019,1,1
Hirondelle de fenêtre,2021,3,2
Hirondelle rustique,2022,7,2
Huppe fasciée,2022,11,1
Hypolaïs polyglotte,2021,11,3
Linotte mélodieuse,2022,14,1
Locustelle tachetée,2022,13,1
Loriot d'Europe,2021,7,1
Martinet noir,2021,4,1
Martin-pêcheur d'Europe,2021,7,1
Merle à plastron,2021,1,0
Merle noir,2022,43,16
Mésange à longue queue,2022,9,10
Mésange bleue,2022,28,14
Mésange charbonnière,2022,49,18
Mésange huppée,2021,7,3
Mésange noire,2018,0,3
Mésange nonnette,2022,7,5
Milan noir,2009,0,1
Moineau domestique,2022,36,13
Mouette mélanocéphale,2021,1,0
Mouette rieuse,2020,2,0
Perdrix rouge,2021,1,1
Petit Gravelot,2020,2,0
Phragmite des joncs,2021,2,1
Pic cendré,2021,11,1
Pic épeiche,2022,37,8
Pic épeichette,2021,2,1
Pic mar,2022,8,3
Pic noir,2022,13,2
Pic vert,2022,21,3
Pie bavarde,2022,29,3
Pie-grièche écorcheur,2021,5,1
Pigeon biset domestique,2013,0,2
Pigeon colombin,2022,13,1
Pigeon ramier,2022,62,10
Pinson des arbres,2022,59,18
Pinson du Nord,2022,2,3
Pipit des arbres,2021,14,1
Pipit farlouse,2021,1,0
Pipit spioncelle,2018,0,1
Pouillot de Bonelli,2022,16,5
Pouillot fitis,2022,21,1
Pouillot siffleur,2021,18,2
Pouillot véloce,2022,65,3
Râle d'eau,2009,0,1
Roitelet à triple bandeau,2022,3,3
Roitelet huppé,2022,1,2
Rossignol philomèle,2022,10,1
Rougegorge familier,2022,62,16
Rougequeue à front blanc,2022,16,2
Rougequeue noir,2022,21,1
Rousserolle effarvatte,2021,2,3
Serin cini,2022,15,1
Sittelle torchepot,2022,25,7
Tarier pâtre,2022,26,1
Tarin des aulnes,2021,4,7
Torcol fourmilier,2022,7,1
Tourterelle des bois,2022,20,3
Tourterelle turque,2022,14,7
Traquet motteux,2020,1,0
Troglodyte mignon,2022,21,7
Vanneau huppé,2009,0,1
Verdier d'Europe,2022,12,9
