frname,lastobs,newcount,oldcount
Accenteur mouchet,2022,101,33
Aigrette garzette,2021,8,8
Alouette des champs,2021,17,5
Alouette lulu,2022,19,3
Autour des palombes,2017,0,6
Bécasse des bois,2022,16,0
Bécassine des marais,2022,4,5
Bergeronnette des ruisseaux,2022,30,32
Bergeronnette flavéole (M.f.flavissima),2019,1,0
Bergeronnette grise,2022,167,89
Bergeronnette printanière,2022,2,1
Bernache du Canada,2019,1,1
Bondrée apivore,2020,1,3
Bouscarle de Cetti,2022,103,63
Bouvreuil pivoine,2021,11,6
Bruant des roseaux,2009,0,1
Bruant jaune,2009,0,1
Bruant zizi,2022,23,8
Buse variable,2022,168,55
Canard chipeau,2020,27,1
Canard colvert,2022,215,156
Canard siffleur,2021,2,0
Canard souchet,2022,8,24
Chardonneret élégant,2022,145,25
Chevalier culblanc,2021,7,11
Chevalier guignette,2022,3,1
Choucas des tours,2022,112,86
Chouette hulotte,2022,26,22
Cigogne noire,2018,0,1
Corneille noire,2022,205,84
Coucou gris,2022,13,12
Cygne tuberculé,2022,5,5
Effraie des clochers,2022,6,5
Épervier d'Europe,2022,17,16
Étourneau sansonnet,2022,102,56
Faisan de Colchide,2022,18,1
Faucon crécerelle,2022,66,64
Faucon hobereau,2009,0,2
Faucon pèlerin,2020,1,0
Fauvette à tête noire,2022,155,41
Fauvette des jardins,2022,13,6
Fauvette grisette,2009,0,1
Foulque macroule,2022,150,146
Fuligule milouin,2022,63,84
Fuligule morillon,2022,13,33
Gallinule poule-d'eau,2022,145,116
Geai des chênes,2022,26,27
Gobemouche gris,2021,4,2
Goéland argenté,2022,54,26
Goéland brun,2022,52,35
Goéland cendré,2022,25,13
Goéland marin,2021,5,3
Grand Cormoran,2022,133,115
Grande Aigrette,2022,121,40
Grèbe à cou noir,2019,0,3
Grèbe castagneux,2022,61,28
Grèbe huppé,2022,122,141
Grimpereau des bois,2015,0,1
Grimpereau des jardins,2022,114,71
Grive draine,2022,20,26
Grive litorne,2021,3,5
Grive mauvis,2022,42,15
Grive musicienne,2022,101,54
Grosbec casse-noyaux,2018,0,19
Héron cendré,2022,60,56
Héron garde-boeufs,2022,49,1
Héron pourpré,2022,1,0
Hirondelle de fenêtre,2022,41,30
Hirondelle de rivage,2022,11,13
Hirondelle rustique,2022,74,65
Huppe fasciée,2021,1,0
Hypolaïs polyglotte,2022,3,3
Linotte mélodieuse,2022,15,5
Martinet noir,2022,53,25
Martin-pêcheur d'Europe,2022,82,54
Merle noir,2022,243,118
Mésange à longue queue,2022,33,26
Mésange bleue,2022,119,83
Mésange charbonnière,2022,179,70
Mésange huppée,2022,2,1
Mésange noire,2018,0,4
Mésange nonnette,2022,23,17
Moineau domestique,2022,222,62
Mouette mélanocéphale,2022,3,2
Mouette rieuse,2022,99,112
Oie cendrée,2018,0,2
Perdrix grise,2019,1,0
Perdrix rouge,2018,0,6
Phragmite des joncs,2009,0,1
Pic épeiche,2022,161,79
Pic épeichette,2022,2,1
Pic mar,2021,20,8
Pic noir,2017,0,7
Pic vert,2022,113,46
Pie bavarde,2022,59,23
Pigeon biset domestique,2022,63,36
Pigeon ramier,2022,352,152
Pinson des arbres,2022,247,110
Pinson du Nord,2021,2,1
Pipit des arbres,2014,0,1
Pipit farlouse,2022,35,20
Pluvier doré,2019,0,4
Pouillot fitis,2022,4,2
Pouillot véloce,2022,147,59
Râle d'eau,2022,11,14
Roitelet à triple bandeau,2022,8,36
Roitelet huppé,2020,6,23
Rougegorge familier,2022,260,112
Rougequeue à front blanc,2021,1,2
Rougequeue noir,2022,33,13
Rousserolle effarvatte,2022,40,22
Rousserolle verderolle,2019,1,0
Sarcelle d'hiver,2022,31,16
Serin cini,2022,18,25
Sittelle torchepot,2022,134,49
Sterne pierregarin,2009,0,1
Tarier des prés,2021,1,0
Tarier pâtre,2022,47,18
Tarin des aulnes,2022,17,8
Tourterelle des bois,2022,27,7
Tourterelle turque,2022,78,40
Traquet motteux,2022,5,0
Troglodyte mignon,2022,150,75
Vanneau huppé,2022,11,25
Vautour fauve,2018,0,2
Verdier d'Europe,2022,249,38
