frname,lastobs,newcount,oldcount
Accenteur mouchet,2023,183,405
Aigle botté,2021,3,0
Aigrette garzette,2023,35,195
Alouette des champs,2022,6,45
Alouette lulu,2012,0,1
Bécasseau minute,2021,1,0
Bécasse des bois,2022,1,10
Bécassine des marais,2023,51,179
Bécassine sourde,2023,6,7
Bec-croisé des sapins,2010,0,4
Bergeronnette des ruisseaux,2023,35,46
Bergeronnette flavéole (M.f.flavissima),2010,0,2
Bergeronnette grise,2023,195,597
Bergeronnette printanière,2021,2,32
Bernache cravant,2009,0,1
Bernache du Canada,2021,1,0
Bihoreau gris,2022,2,1
Bondrée apivore,2023,42,10
Bouscarle de Cetti,2023,262,175
Bouvreuil pivoine,2017,0,3
Bruant des roseaux,2021,2,42
Bruant jaune,2020,1,1
Bruant zizi,2023,15,108
Busard des roseaux,2020,1,3
Busard Saint-Martin,2020,1,2
Buse variable,2023,138,334
Butor étoilé,2010,0,2
Caille des blés,2018,0,2
Canard carolin,2020,3,0
Canard colvert,2023,110,218
Canard pilet,2020,1,9
Chardonneret élégant,2023,280,486
Chevalier culblanc,2020,3,71
Chevalier gambette,2010,0,1
Chevalier guignette,2021,1,15
Chevêche d'Athéna,2023,22,66
Choucas des tours,2023,145,102
Chouette hulotte,2023,149,210
Cigogne blanche,2023,58,61
Cigogne noire,2020,1,4
Circaète Jean-le-Blanc,2022,1,6
Cisticole des joncs,2023,175,70
Cochevis huppé,2020,3,50
Corbeau freux,2022,2,2
Corneille noire,2023,495,982
Coucou gris,2022,18,69
Courlis cendré,2013,0,2
Cygne tuberculé,2019,1,3
Dendrocygne fauve,2020,1,20
Effraie des clochers,2019,6,17
Élanion blanc,2022,2,0
Épervier d'Europe,2023,33,47
Étourneau sansonnet,2023,995,1487
Faisan de Colchide,2023,7,13
Faucon crécerelle,2023,181,516
Faucon d'Éléonore,2011,0,1
Faucon émerillon,2020,2,0
Faucon hobereau,2023,28,31
Faucon pèlerin,2023,416,20
Fauvette à tête noire,2023,433,387
Fauvette des jardins,2023,5,11
Fauvette grisette,2023,22,21
Fauvette pitchou,2015,0,4
Foulque macroule,2021,5,95
Fuligule milouin,2017,0,21
Fuligule milouinan,2011,0,13
Fuligule morillon,2011,0,19
Fuligule nyroca,2022,1,26
Gallinule poule-d'eau,2023,119,349
Geai des chênes,2023,128,174
Gobemouche gris,2023,23,62
Gobemouche noir,2023,51,70
Goéland brun,2018,0,2
Goéland cendré,2016,0,1
Goéland leucophée,2023,11,23
Grand Cormoran,2023,24,60
Grande Aigrette,2020,1,2
Grèbe castagneux,2022,4,53
Grèbe huppé,2010,0,2
Grimpereau des jardins,2023,149,205
Grive draine,2022,13,20
Grive litorne,2022,1,9
Grive mauvis,2023,48,73
Grive musicienne,2023,292,447
Grosbec casse-noyaux,2022,10,40
Guêpier d'Europe,2013,0,3
Héron cendré,2023,46,231
Héron garde-boeufs,2023,54,56
Héron pourpré,2019,1,21
Hibou moyen-duc,2023,1,1
Hirondelle de fenêtre,2023,29,99
Hirondelle de rivage,2013,0,5
Hirondelle rustique,2023,163,248
Huppe fasciée,2023,61,146
Hypolaïs polyglotte,2023,69,97
Ibis sacré,2010,0,2
Inséparable de Fischer,2022,1,1
Linotte mélodieuse,2021,2,18
Locustelle tachetée,2012,0,3
Loriot d'Europe,2023,26,24
Martinet noir,2023,218,281
Martin-pêcheur d'Europe,2023,24,157
Merle à plastron,2011,0,1
Merle noir,2023,1257,1229
Mésange à longue queue,2023,324,346
Mésange bleue,2023,672,694
Mésange charbonnière,2023,926,817
Mésange huppée,2023,41,14
Mésange noire,2023,60,62
Mésange nonnette,2023,75,90
Milan noir,2023,486,470
Milan royal,2023,14,18
Moineau domestique,2023,993,986
Moineau friquet,2023,2,97
Mouette pygmée,2009,0,1
Mouette rieuse,2020,3,70
Nette rousse,2023,4,24
Oie cendrée,2013,0,10
Perdrix rouge,2015,0,1
Perruche à collier,2019,1,1
Petit-duc scops,2011,0,3
Petit Gravelot,2020,2,33
Phragmite des joncs,2021,3,6
Pic épeiche,2023,107,115
Pic épeichette,2023,61,92
Pic noir,2022,7,1
Pic vert,2023,298,458
Pie bavarde,2023,853,860
Pigeon biset domestique,2023,331,347
Pigeon colombin,2022,16,2
Pigeon ramier,2023,864,670
Pinson des arbres,2023,461,456
Pinson du Nord,2022,35,32
Pipit des arbres,2022,4,3
Pipit farlouse,2023,67,153
Pipit spioncelle,2020,2,13
Pluvier doré,2012,0,3
Pouillot de Bonelli,2021,5,5
Pouillot fitis,2023,20,29
Pouillot véloce,2023,220,288
Râle d'eau,2022,4,9
Rémiz penduline,2016,0,1
Roitelet à triple bandeau,2023,158,155
Roitelet huppé,2022,3,33
Rossignol philomèle,2023,160,91
Rougegorge familier,2023,1042,924
Rougequeue à front blanc,2022,44,80
Rougequeue noir,2023,276,421
Rousserolle effarvatte,2023,16,19
Rousserolle turdoïde,2010,0,2
Sarcelle d'hiver,2020,3,39
Serin cini,2023,144,331
Sittelle torchepot,2023,277,404
Tarier des prés,2016,0,6
Tarier pâtre,2023,27,57
Tarin des aulnes,2023,26,94
Torcol fourmilier,2023,5,108
Tourterelle des bois,2021,5,28
Tourterelle rieuse,2011,0,1
Tourterelle turque,2023,881,990
Traquet motteux,2021,3,30
Troglodyte mignon,2023,213,385
Vanneau huppé,2022,1,49
Vautour fauve,2021,1,0
Verdier d'Europe,2023,298,539
