frname,lastobs,newcount,oldcount
Accenteur mouchet,2022,81,108
Aigle botté,2009,0,2
Aigrette garzette,2020,18,29
Alouette des champs,2022,182,251
Alouette lulu,2021,10,12
Autour des palombes,2022,22,24
Barge à queue noire,2018,0,1
Bécasseau de Temminck,2018,0,12
Bécasseau minute,2017,0,1
Bécasseau variable,2018,0,14
Bécasse des bois,2021,4,13
Bécassine des marais,2022,94,166
Bécassine sourde,2019,8,21
Bec-croisé des sapins,2015,0,2
Bergeronnette des ruisseaux,2022,67,46
Bergeronnette flavéole (M.f.flavissima),2018,0,1
Bergeronnette grise,2022,109,126
Bergeronnette printanière,2022,116,139
Bernache du Canada,2014,0,1
Bihoreau gris,2014,0,3
Blongios nain,2018,0,21
Bondrée apivore,2021,24,33
Bouvreuil pivoine,2022,49,93
Bruant des roseaux,2022,183,198
Bruant jaune,2022,141,202
Bruant ortolan,2021,6,0
Bruant proyer,2022,71,111
Bruant zizi,2022,43,23
Busard cendré,2021,7,32
Busard des roseaux,2022,31,64
Busard pâle,2016,0,1
Busard Saint-Martin,2022,68,110
Buse variable,2022,232,305
Caille des blés,2021,24,43
Canard chipeau,2021,21,25
Canard colvert,2022,272,286
Canard mandarin,2020,3,0
Canard pilet,2021,8,12
Canard siffleur,2022,13,17
Canard souchet,2021,10,38
Chardonneret élégant,2022,140,173
Chevalier aboyeur,2021,14,42
Chevalier arlequin,2018,0,11
Chevalier culblanc,2022,68,126
Chevalier gambette,2022,4,2
Chevalier guignette,2022,61,46
Chevalier sylvain,2021,8,26
Chevêche d'Athéna,2022,39,64
Choucas des tours,2022,39,77
Chouette hulotte,2022,9,22
Cigogne blanche,2021,16,7
Cigogne noire,2021,17,13
Cincle plongeur,2021,8,5
Circaète Jean-le-Blanc,2018,0,13
Combattant varié,2018,0,22
Corbeau freux,2022,13,43
Corneille noire,2022,158,198
Coucou gris,2022,66,50
Courlis cendré,2014,0,3
Cygne tuberculé,2022,140,135
Échasse blanche,2020,1,0
Effraie des clochers,2022,47,23
Épervier d'Europe,2022,109,125
Étourneau sansonnet,2022,147,203
Faisan de Colchide,2022,62,70
Faucon crécerelle,2022,163,199
Faucon émerillon,2021,8,19
Faucon hobereau,2021,39,52
Faucon kobez,2021,10,0
Faucon pèlerin,2021,7,15
Fauvette à tête noire,2022,246,280
Fauvette babillarde,2022,23,20
Fauvette des jardins,2021,30,39
Fauvette grisette,2022,85,77
Foulque macroule,2022,206,234
Fuligule milouin,2022,187,196
Fuligule morillon,2022,118,24
Fuligule nyroca,2017,0,7
Gallinule poule-d'eau,2022,62,140
Garrot à oeil d'or,2020,1,2
Geai des chênes,2022,204,183
Gobemouche gris,2021,15,37
Gobemouche noir,2021,38,68
Goéland brun,2020,1,1
Goéland leucophée,2021,3,2
Gorgebleue à miroir,2019,1,17
Grand Corbeau,2020,1,1
Grand Cormoran,2022,84,70
Grande Aigrette,2022,215,318
Grand Gravelot,2020,1,5
Grèbe à cou noir,2013,0,2
Grèbe castagneux,2022,168,234
Grèbe huppé,2022,82,70
Grimpereau des bois,2021,6,6
Grimpereau des jardins,2022,83,121
Grive draine,2022,86,141
Grive litorne,2022,74,66
Grive mauvis,2022,50,23
Grive musicienne,2022,163,177
Grosbec casse-noyaux,2022,83,93
Guêpier d'Europe,2021,10,3
Guifette noire,2020,2,2
Héron cendré,2022,204,308
Héron garde-boeufs,2020,3,0
Héron pourpré,2020,4,38
Hibou des marais,2021,1,4
Hibou moyen-duc,2022,20,26
Hirondelle de fenêtre,2022,80,87
Hirondelle de rivage,2022,20,4
Hirondelle de rochers,2019,1,0
Hirondelle rustique,2022,163,134
Huppe fasciée,2021,5,10
Hypolaïs polyglotte,2021,57,53
Linotte mélodieuse,2022,123,181
Locustelle tachetée,2021,1,10
Loriot d'Europe,2021,49,54
Marouette ponctuée,2018,0,12
Martinet noir,2021,28,19
Martin-pêcheur d'Europe,2022,91,203
Merle à plastron,2020,1,2
Merle noir,2022,391,419
Mésange à longue queue,2022,64,83
Mésange bleue,2022,315,332
Mésange boréale,2021,8,26
Mésange charbonnière,2022,306,375
Mésange huppée,2022,4,10
Mésange noire,2022,6,25
Mésange nonnette,2022,37,68
Milan noir,2022,120,111
Milan royal,2022,98,110
Moineau domestique,2022,144,156
Moineau friquet,2017,0,4
Mouette pygmée,2020,1,0
Mouette rieuse,2021,9,5
Nette rousse,2022,178,31
Oie cendrée,2020,3,2
Ouette d'Egypte,2021,7,7
Panure à moustaches,2018,0,10
Perdrix grise,2022,20,23
Perdrix rouge,2021,4,17
Petit Gravelot,2022,30,22
Phragmite des joncs,2021,1,6
Pic cendré,2021,7,2
Pic épeiche,2022,144,191
Pic épeichette,2021,25,20
Pic mar,2021,51,47
Pic noir,2022,78,60
Pic vert,2022,65,109
Pie bavarde,2022,97,129
Pie-grièche à tête rousse,2018,0,1
Pie-grièche écorcheur,2021,23,41
Pie-grièche grise,2021,2,24
Pigeon biset domestique,2021,8,18
Pigeon colombin,2022,36,38
Pigeon ramier,2022,235,226
Pinson des arbres,2022,318,414
Pinson du Nord,2022,89,75
Pipit des arbres,2021,57,47
Pipit farlouse,2022,38,85
Pipit rousseline,2019,1,9
Pipit spioncelle,2022,20,12
Plongeon catmarin,2018,0,1
Pluvier doré,2022,5,7
Pluvier guignard,2021,11,28
Pouillot à grands sourcils,2015,0,1
Pouillot de Bonelli,2009,0,1
Pouillot fitis,2022,71,55
Pouillot siffleur,2021,4,8
Pouillot véloce,2022,295,363
Râle d'eau,2022,43,71
Rémiz penduline,2021,1,1
Roitelet à triple bandeau,2022,17,28
Roitelet huppé,2022,22,45
Rossignol philomèle,2022,112,88
Rougegorge familier,2022,271,288
Rougequeue à front blanc,2021,59,55
Rougequeue noir,2022,60,84
Rousserolle effarvatte,2022,65,101
Rousserolle turdoïde,2022,58,74
Sarcelle d'été,2022,10,20
Sarcelle d'hiver,2022,63,133
Serin cini,2022,74,56
Sittelle torchepot,2022,98,128
Sizerin cabaret,2020,1,0
Sizerin flammé,2020,1,0
Spatule blanche,2021,1,1
Sterne pierregarin,2021,3,0
Tadorne de Belon,2022,2,1
Tarier des prés,2022,16,64
Tarier pâtre,2022,139,127
Tarin des aulnes,2022,85,59
Torcol fourmilier,2022,8,2
Tourterelle des bois,2021,44,60
Tourterelle turque,2022,90,120
Traquet motteux,2021,64,135
Traquet oreillard,2007,0,1
Troglodyte mignon,2022,153,217
Vanneau huppé,2022,46,73
Verdier d'Europe,2022,168,173
