frname,lastobs,newcount,oldcount
Accenteur mouchet,2022,1069,73
Aigrette garzette,2022,389,28
Alouette des champs,2022,425,7
Alouette lulu,2022,54,0
Autour des palombes,2020,1,0
Avocette élégante,2021,6,0
Barge à queue noire,2018,0,1
Bécasseau maubèche,2021,2,0
Bécasseau variable,2022,4,0
Bécasse des bois,2021,4,1
Bécassine des marais,2022,129,37
Bécassine sourde,2021,3,2
Bergeronnette des ruisseaux,2022,215,5
Bergeronnette grise,2022,596,16
Bergeronnette printanière,2022,216,2
Bernache du Canada,2022,576,45
Bernache nonnette,2022,7,6
Bihoreau gris,2022,5,1
Blongios nain,2021,1,0
Bondrée apivore,2022,22,0
Bouscarle de Cetti,2022,200,19
Bouvreuil pivoine,2022,27,4
Bruant des roseaux,2022,189,21
Bruant jaune,2022,28,2
Bruant ortolan,2022,4,0
Bruant proyer,2022,3,2
Busard des roseaux,2022,109,6
Busard Saint-Martin,2022,6,4
Buse pattue,2009,0,1
Buse variable,2022,522,11
Butor étoilé,2022,2,2
Caille des blés,2022,9,1
Canard chipeau,2022,414,54
Canard colvert,2022,954,69
Canard mandarin,2021,4,0
Canard pilet,2022,13,2
Canard siffleur,2022,71,15
Canard souchet,2022,279,30
Chardonneret élégant,2022,713,44
Chevalier aboyeur,2022,12,2
Chevalier arlequin,2017,0,2
Chevalier culblanc,2022,58,19
Chevalier gambette,2022,9,6
Chevalier guignette,2022,133,13
Chevalier sylvain,2021,2,2
Chevêche d'Athéna,2022,186,4
Choucas des tours,2022,2321,25
Chouette hulotte,2022,127,3
Cigogne blanche,2022,16,1
Cigogne noire,2022,5,0
Combattant varié,2017,0,1
Corbeau freux,2022,487,3
Corneille noire,2022,2144,50
Coucou gris,2022,215,11
Courlis cendré,2022,5,1
Courlis corlieu,2022,2,0
Cygne noir,2022,26,0
Cygne tuberculé,2022,493,34
Effraie des clochers,2022,4,1
Épervier d'Europe,2022,406,11
Érismature rousse,2016,0,1
Étourneau sansonnet,2022,1765,88
Faisan de Colchide,2022,376,3
Faisan vénéré,2022,9,0
Faucon crécerelle,2022,366,6
Faucon émerillon,2022,4,1
Faucon hobereau,2022,56,6
Faucon pèlerin,2022,34,1
Fauvette à tête noire,2022,940,38
Fauvette babillarde,2022,31,4
Fauvette des jardins,2022,87,5
Fauvette grisette,2022,215,10
Foulque macroule,2022,794,67
Fuligule milouin,2022,214,43
Fuligule morillon,2022,263,40
Gallinule poule-d'eau,2022,882,68
Garrot à oeil d'or,2022,5,1
Geai des chênes,2022,761,44
Gobemouche gris,2022,20,5
Gobemouche noir,2022,26,0
Goéland à ailes blanches,2018,0,1
Goéland argenté,2022,700,10
Goéland brun,2022,669,13
Goéland cendré,2022,166,9
Goéland leucophée,2020,2,3
Goéland marin,2021,1,0
Goéland pontique,2022,8,4
Gorgebleue à miroir,2022,8,2
Grand Corbeau,2020,2,0
Grand Cormoran,2022,893,51
Grand-duc d'Europe,2018,0,1
Grande Aigrette,2022,200,22
Grand Gravelot,2022,3,1
Grèbe à cou noir,2022,9,2
Grèbe castagneux,2022,492,52
Grèbe huppé,2022,453,38
Grèbe jougris,2016,0,1
Grimpereau des bois,2020,1,0
Grimpereau des jardins,2022,727,14
Grive draine,2022,91,10
Grive litorne,2022,138,8
Grive mauvis,2022,895,14
Grive musicienne,2022,939,37
Grosbec casse-noyaux,2022,26,4
Guêpier d'Europe,2020,1,0
Guifette leucoptère,2020,1,1
Guifette moustac,2017,0,1
Guifette noire,2022,10,4
Harle bièvre,2021,1,1
Héron cendré,2022,976,81
Héron garde-boeufs,2022,230,0
Héron pourpré,2022,9,2
Hibou des marais,2022,1,0
Hibou moyen-duc,2022,11,3
