frname,lastobs,newcount,oldcount
Accenteur mouchet,2024,8,2
Alouette des champs,2024,29,0
Bec-croisé des sapins,2023,4,0
Bergeronnette des ruisseaux,2023,3,0
Bergeronnette grise,2024,22,5
Bergeronnette printanière,2022,2,1
Bondrée apivore,2021,1,1
Bouvreuil pivoine,2024,12,5
Bruant jaune,2023,38,5
Bruant zizi,2024,1,0
Busard des roseaux,2020,1,0
Busard Saint-Martin,2012,0,1
Buse variable,2024,33,14
Caille des blés,2020,2,0
Canard colvert,2023,3,0
Chardonneret élégant,2024,27,9
Choucas des tours,2024,4,0
Chouette hulotte,2020,4,0
Cigogne noire,2021,2,2
Corbeau freux,2023,1,3
Corneille noire,2024,41,2
Coucou gris,2021,2,0
Épervier d'Europe,2020,2,2
Étourneau sansonnet,2024,21,7
Faisan de Colchide,2023,1,0
Faucon crécerelle,2024,20,9
Faucon pèlerin,2019,1,0
Fauvette à tête noire,2024,87,4
Fauvette babillarde,2023,6,0
Fauvette des jardins,2021,7,0
Fauvette grisette,2021,5,0
Fuligule morillon,2024,1,0
Geai des chênes,2024,35,12
Gobemouche à collier,2023,1,0
Gobemouche gris,2021,3,0
Grand Corbeau,2020,1,0
Grand Cormoran,2021,2,0
Grande Aigrette,2023,2,4
Grimpereau des bois,2023,14,1
Grimpereau des jardins,2024,30,0
Grive draine,2024,32,2
Grive litorne,2024,3,0
Grive mauvis,2022,2,0
Grive musicienne,2024,65,3
Grosbec casse-noyaux,2024,15,7
Guêpier d'Europe,2020,1,0
Héron cendré,2023,9,2
Hirondelle de fenêtre,2023,22,15
Hirondelle rustique,2024,32,4
Huppe fasciée,2021,1,0
Hypolaïs polyglotte,2020,2,0
Linotte mélodieuse,2022,10,5
Loriot d'Europe,2023,12,1
Martinet noir,2023,13,0
Martin-pêcheur d'Europe,2021,3,0
Merle noir,2024,91,14
Mésange à longue queue,2023,6,1
Mésange bleue,2024,59,13
Mésange boréale,2020,3,0
Mésange charbonnière,2024,98,14
Mésange huppée,2024,28,1
Mésange noire,2024,65,5
Mésange nonnette,2024,16,6
Milan noir,2024,31,8
Milan royal,2024,48,29
Moineau domestique,2024,63,12
Moineau friquet,2024,13,7
Pic cendré,2023,3,1
Pic épeiche,2024,41,7
Pic épeichette,2023,1,0
Pic mar,2020,6,0
Pic noir,2024,18,0
Pic vert,2024,11,10
Pie bavarde,2024,40,17
Pie-grièche écorcheur,2023,32,6
Pigeon biset domestique,2021,2,0
Pigeon colombin,2023,17,0
Pigeon ramier,2024,71,0
Pinson des arbres,2024,144,13
Pinson du Nord,2024,6,3
Pipit farlouse,2015,0,1
Pouillot fitis,2021,10,4
Pouillot siffleur,2023,31,0
Pouillot véloce,2023,60,2
Roitelet à triple bandeau,2023,24,2
Roitelet huppé,2023,40,0
Rossignol philomèle,2023,4,0
Rougegorge familier,2024,106,8
Rougequeue à front blanc,2023,16,3
Rougequeue noir,2023,29,4
Rousserolle effarvatte,2020,1,0
Serin cini,2023,6,0
Sittelle torchepot,2023,21,4
Tarier pâtre,2023,39,3
Tarin des aulnes,2024,9,5
Tourterelle des bois,2023,20,3
Tourterelle turque,2024,7,10
Traquet motteux,2022,1,0
Troglodyte mignon,2023,62,7
Vanneau huppé,2024,2,0
Verdier d'Europe,2024,17,11
