frname,lastobs,newcount,oldcount
Accenteur mouchet,2023,54,130
Aigrette garzette,2022,2,3
Alouette des champs,2023,266,380
Alouette lulu,2023,134,125
Autour des palombes,2021,2,2
Bécasseau sanderling,2016,0,1
Bécassine des marais,2017,0,2
Bergeronnette des ruisseaux,2022,65,260
Bergeronnette grise,2023,90,489
Bergeronnette printanière,2023,21,25
Bernache du Canada,2023,41,136
Bihoreau gris,2021,2,3
Bondrée apivore,2022,6,10
Bouscarle de Cetti,2023,10,0
Bouvreuil pivoine,2022,12,30
Bruant des roseaux,2023,8,3
Bruant jaune,2023,10,106
Bruant proyer,2023,117,112
Bruant zizi,2023,239,152
Busard cendré,2023,3,10
Busard des roseaux,2022,4,6
Busard Saint-Martin,2023,8,29
Buse variable,2023,181,610
Caille des blés,2022,5,40
Canard carolin,2015,0,1
Canard chipeau,2023,7,3
Canard colvert,2023,119,381
Canard mandarin,2019,4,45
Canard pilet,2022,1,8
Canard siffleur,2017,0,2
Canard souchet,2021,1,1
Chardonneret élégant,2023,187,397
Chevalier culblanc,2022,2,4
Chevalier gambette,2019,1,0
Chevalier guignette,2023,13,34
Chevêche d'Athéna,2023,5,2
Choucas des tours,2023,60,59
Chouette hulotte,2023,17,71
Cigogne blanche,2023,7,9
Cigogne noire,2021,2,2
Cincle plongeur,2022,18,84
Circaète Jean-le-Blanc,2021,2,3
Corbeau freux,2023,166,307
Corneille noire,2023,156,229
Coucou gris,2023,21,86
Cygne noir,2022,3,0
Cygne tuberculé,2023,107,433
Effraie des clochers,2023,8,12
Engoulevent d'Europe,2012,0,2
Épervier d'Europe,2023,20,48
Étourneau sansonnet,2023,135,281
Faisan de Colchide,2022,11,33
Faucon crécerelle,2023,127,264
Faucon hobereau,2023,7,26
Faucon pèlerin,2021,1,1
Fauvette à tête noire,2023,264,421
Fauvette babillarde,2020,6,3
Fauvette des jardins,2022,8,36
Fauvette grisette,2023,60,85
Foulque macroule,2023,48,200
Fuligule milouin,2023,10,18
Fuligule morillon,2017,0,7
Gallinule poule-d'eau,2022,47,194
Garrot à oeil d'or,2017,0,1
Geai des chênes,2023,135,497
Gobemouche gris,2021,6,12
Gobemouche noir,2022,1,5
Goéland brun,2022,2,0
Goéland leucophée,2022,1,2
Grand Cormoran,2023,144,581
Grand-duc d'Europe,2021,1,1
Grande Aigrette,2023,132,215
Grèbe castagneux,2022,25,143
Grèbe huppé,2023,124,742
Grimpereau des jardins,2023,152,175
Grive draine,2023,81,62
Grive litorne,2022,14,30
Grive mauvis,2022,15,6
Grive musicienne,2023,96,151
Grosbec casse-noyaux,2023,55,69
Guêpier d'Europe,2023,3,0
Harle bièvre,2023,2,0
Héron cendré,2023,143,644
Hibou des marais,2018,0,1
Hibou moyen-duc,2012,0,3
Hirondelle de fenêtre,2023,73,294
Hirondelle de rivage,2023,9,15
Hirondelle rustique,2023,149,312
Huppe fasciée,2023,15,43
Hypolaïs polyglotte,2023,21,30
Ibis falcinelle,2021,1,0
Linotte mélodieuse,2023,96,123
Locustelle tachetée,2018,0,3
Loriot d'Europe,2023,25,79
Martinet noir,2023,30,151
Martin-pêcheur d'Europe,2023,110,329
Merle à plastron,2021,1,0
Merle noir,2023,421,1000
Mésange à longue queue,2023,57,135
Mésange bleue,2023,312,502
Mésange charbonnière,2023,416,852
Mésange huppée,2022,3,10
Mésange noire,2022,3,20
Mésange nonnette,2022,7,9
Milan noir,2023,28,64
Milan royal,2023,95,69
Moineau domestique,2023,139,276
Mouette mélanocéphale,2020,2,1
Mouette rieuse,2022,11,35
Oedicnème criard,2021,1,6
Oie cendrée,2009,0,1
Ouette d'Egypte,2014,0,1
Perdrix grise,2022,2,18
Perdrix rouge,2023,9,21
Perruche à collier,2018,0,5
Petit Gravelot,2023,1,4
Pic épeiche,2023,138,261
Pic épeichette,2023,27,43
Pic mar,2022,17,8
Pic noir,2023,30,38
Pic vert,2023,158,622
Pie bavarde,2023,118,283
Pie-grièche écorcheur,2023,11,59
Pie-grièche grise,2020,11,0
Pigeon biset domestique,2023,53,105
Pigeon colombin,2023,7,3
Pigeon ramier,2023,355,689
Pinson des arbres,2023,431,965
Pinson du Nord,2023,17,12
Pipit des arbres,2022,19,58
Pipit farlouse,2023,27,5
Pipit rousseline,2022,1,1
Pipit spioncelle,2021,6,0
Pluvier doré,2021,1,0
Pouillot fitis,2023,15,20
Pouillot siffleur,2009,0,3
Pouillot véloce,2023,170,240
Râle d'eau,2016,0,1
Roitelet à triple bandeau,2023,65,33
Roitelet huppé,2023,4,12
Rossignol philomèle,2023,125,242
Rougegorge familier,2023,344,527
Rougequeue à front blanc,2023,18,18
Rougequeue noir,2023,97,300
Rousserolle effarvatte,2020,2,4
Sarcelle d'hiver,2023,2,0
Serin cini,2023,45,74
Sittelle torchepot,2023,86,219
Sterne pierregarin,2023,17,24
Tadorne de Belon,2009,0,1
Tarier des prés,2022,2,2
Tarier pâtre,2023,28,64
Tarin des aulnes,2023,55,37
Torcol fourmilier,2023,4,11
Tourterelle des bois,2023,38,74
Tourterelle turque,2023,105,279
Traquet motteux,2023,7,9
Troglodyte mignon,2023,183,356
Vanneau huppé,2023,8,18
Verdier d'Europe,2023,119,321
