frname,lastobs,newcount,oldcount
Accenteur mouchet,2020,7,17
Aigle botté,2023,50,86
Aigrette garzette,2023,1749,2492
Alouette calandre,2007,0,1
Alouette calandrelle,2019,2,0
Alouette des champs,2023,197,369
Alouette lulu,2022,6,1
Autour des palombes,2021,2,3
Avocette élégante,2023,111,152
Barge à queue noire,2023,136,427
Barge rousse,2022,5,12
Bécasseau cocorli,2023,1,2
Bécasseau de Temminck,2022,3,29
Bécasseau maubèche,2022,3,3
Bécasseau minute,2023,27,47
Bécasseau sanderling,2022,4,4
Bécasseau variable,2023,109,144
Bécasse des bois,2016,0,3
Bécassine des marais,2023,376,448
Bécassine sourde,2023,5,5
Bergeronnette des ruisseaux,2022,28,30
Bergeronnette flavéole (M.f.flavissima),2016,0,2
Bergeronnette grise,2023,132,233
Bergeronnette printanière,2023,380,464
Bernache du Canada,2011,0,3
Bernache nonnette,2011,0,1
Bihoreau gris,2023,272,470
Blongios nain,2023,123,180
Bondrée apivore,2023,50,56
Bouscarle de Cetti,2023,1543,1799
Bouvreuil pivoine,2018,0,3
Bruant des roseaux,2023,536,837
Bruant jaune,2017,0,4
Bruant proyer,2023,345,436
Bruant zizi,2022,4,5
Busard cendré,2023,28,37
Busard des roseaux,2023,1590,1879
Busard pâle,2020,1,6
Busard Saint-Martin,2023,249,349
Buse variable,2023,1049,1929
Butor étoilé,2023,305,516
Caille des blés,2022,8,7
Canard chipeau,2023,180,149
Canard colvert,2023,754,1051
Canard pilet,2023,192,65
Canard siffleur,2023,230,196
Canard souchet,2023,387,388
Chardonneret élégant,2023,182,127
Chevalier aboyeur,2023,122,350
Chevalier arlequin,2023,49,159
Chevalier culblanc,2023,293,304
Chevalier gambette,2023,62,119
Chevalier guignette,2023,43,69
Chevalier stagnatile,2019,2,21
Chevalier sylvain,2023,318,516
Chevêche d'Athéna,2021,1,1
Choucas des tours,2023,150,239
Chouette hulotte,2018,0,10
Cigogne blanche,2023,636,525
Cigogne noire,2023,501,425
Circaète Jean-le-Blanc,2023,170,365
Cisticole des joncs,2023,1033,1010
Cochevis huppé,2023,319,459
Combattant varié,2023,93,396
Corbeau freux,2022,4,3
Cormoran pygmée,2015,0,2
Corneille mantelée,2022,3,1
Corneille noire,2023,348,654
Coucou geai,2023,57,59
Coucou gris,2023,329,420
Courlis cendré,2023,646,935
Courlis corlieu,2023,25,72
Crabier chevelu,2023,423,909
Cygne chanteur,2016,0,7
Cygne de Bewick,2023,508,510
Cygne noir,2022,14,72
Cygne tuberculé,2023,1344,1628
Échasse blanche,2023,710,870
Effraie des clochers,2023,26,108
Élanion blanc,2022,52,1
Engoulevent d'Europe,2020,1,1
Épervier d'Europe,2023,143,263
Etourneau roselin,2021,4,1
Étourneau sansonnet,2023,518,534
Faisan de Colchide,2023,248,300
Faucon crécerelle,2023,540,871
Faucon crécerellette,2022,1,3
Faucon d'Eléonore,2022,8,17
Faucon émerillon,2023,80,96
Faucon hobereau,2023,153,154
Faucon kobez,2023,22,65
Faucon pèlerin,2023,43,77
Fauvette à lunettes,2021,7,8
Fauvette à tête noire,2023,71,92
Fauvette des jardins,2021,1,2
Fauvette grisette,2023,2,4
Fauvette mélanocéphale,2023,349,364
Fauvette passerinette,2020,1,4
Fauvette pitchou,2023,41,27
Flamant rose,2023,982,868
Fou de Bassan,2020,1,0
Foulque macroule,2023,589,870
Fuligule milouin,2023,29,75
Fuligule milouinan,2016,0,2
Fuligule morillon,2023,6,11
Fuligule nyroca,2023,2,7
Gallinule poule-d'eau,2023,325,409
Geai des chênes,2023,3,0
Glaréole à ailes noires,2009,0,1
Glaréole à collier,2023,209,201
Gobemouche gris,2022,7,7
Gobemouche noir,2023,36,53
Goéland brun,2022,14,8
Goéland cendré,2023,11,0
Goéland d'Audouin,2007,0,1
Goéland leucophée,2023,661,715
Goéland pontique,2022,2,0
Goéland railleur,2023,73,106
Gorgebleue à miroir,2023,45,87
Grand Corbeau,2022,2,0
Grand Cormoran,2023,448,651
Grand-duc d'Europe,2023,1,2
Grande Aigrette,2023,1562,2655
Grand Gravelot,2023,52,129
Gravelot à collier interrompu,2023,25,41
Grèbe à cou noir,2023,31,50
Grèbe castagneux,2023,238,228
Grèbe esclavon,2022,1,0
Grèbe huppé,2023,387,496
Grimpereau des jardins,2023,9,13
Grive draine,2022,2,3
Grive litorne,2023,5,6
Grive mauvis,2022,2,4
Grive musicienne,2022,10,59
Grosbec casse-noyaux,2017,0,3
Guêpier d'Europe,2023,356,454
Guifette leucoptère,2023,92,275
Guifette moustac,2023,589,1136
Guifette noire,2023,130,385
Harelde boréale,2020,1,0
Harle huppé,2022,20,4
Harle piette,2020,8,0
Héron cendré,2023,1146,2057
Héron garde-boeufs,2023,648,977
Héron pourpré,2023,852,1248
Hibou des marais,2022,3,2
Hibou moyen-duc,2023,4,7
Hirondelle de fenêtre,2023,50,146
Hirondelle de rivage,2023,198,407
Hirondelle de rochers,2022,1,10
Hirondelle rousseline,2023,8,15
Hirondelle rustique,2023,412,770
Huîtrier pie,2023,11,30
Huppe fasciée,2023,62,60
Hypolaïs polyglotte,2023,51,45
Ibis falcinelle,2023,2353,2616
Ibis sacré,2022,57,22
Linotte mélodieuse,2023,56,120
Locustelle luscinioïde,2021,21,12
Locustelle tachetée,2023,3,3
Loriot d'Europe,2022,8,3
Lusciniole à moustaches,2023,150,119
Macreuse brune,2021,2,0
Marouette ponctuée,2021,3,3
Marouette poussin,2019,3,0
Martinet à ventre blanc,2022,5,14
Martinet noir,2023,219,390
Martin-pêcheur d'Europe,2023,630,810
Merle à plastron,2008,0,1
Merle noir,2023,39,109
Mésange à longue queue,2022,14,36
Mésange bleue,2023,139,283
Mésange charbonnière,2023,107,134
Mésange noire,2022,4,0
Milan noir,2023,270,288
Milan royal,2023,43,50
Moineau domestique,2023,418,641
Moineau friquet,2023,90,298
Monticole de roche,2021,2,0
Mouette de Sabine,2020,15,0
Mouette mélanocéphale,2023,381,437
Mouette pygmée,2021,10,29
Mouette rieuse,2023,1072,1198
Nette rousse,2023,234,328
Oedicnème criard,2023,38,49
Oie à tête barrée,2020,1,0
Oie cendrée,2023,23,38
Ouette d'Egypte,2016,0,7
Outarde canepetière,2021,2,3
Panure à moustaches,2023,524,450
Pélican blanc,2020,5,0
Perdrix rouge,2023,19,33
Petit-duc scops,2019,1,5
Petit Gravelot,2023,28,91
Phragmite des joncs,2023,34,51
Pic épeiche,2022,21,20
Pic épeichette,2022,12,8
Pic vert,2023,15,33
Pie bavarde,2023,376,704
Pie-grièche à tête rousse,2021,2,4
Pie-grièche écorcheur,2022,13,9
Pie-grièche grise,2023,11,0
Pie-grièche méridionale,2020,2,0
Pigeon biset domestique,2023,27,99
Pigeon colombin,2023,5,22
Pigeon ramier,2023,128,242
Pinson des arbres,2023,334,426
Pinson du Nord,2022,40,69
Pipit à gorge rousse,2023,3,0
Pipit de Richard,2021,2,3
Pipit des arbres,2023,5,12
Pipit farlouse,2023,336,452
Pipit rousseline,2023,12,10
Pipit spioncelle,2023,118,134
Plongeon arctique,2022,2,0
Plongeon catmarin,2022,1,0
Plongeon imbrin,2022,1,0
Pluvier argenté,2023,132,141
Pluvier doré,2023,54,65
Pluvier guignard,2017,0,5
Pouillot à grands sourcils,2022,2,1
Pouillot de Bonelli,2023,11,2
Pouillot fitis,2023,16,30
Pouillot siffleur,2022,5,2
