frname,lastobs,newcount,oldcount
Accenteur alpin,2014,0,5
Accenteur mouchet,2022,4,26
Aigle botté,2018,0,4
Aigrette garzette,2022,12,6
Alouette calandrelle,2018,0,1
Alouette des champs,2022,2,3
Alouette lulu,2021,3,7
Autour des palombes,2021,1,1
Bécasse des bois,2020,1,8
Bergeronnette des ruisseaux,2022,148,122
Bergeronnette grise,2022,382,157
Bergeronnette printanière,2022,4,2
Bihoreau gris,2022,4,3
Bondrée apivore,2022,5,18
Bouscarle de Cetti,2022,120,15
Bruant des roseaux,2020,1,0
Bruant fou,2018,0,8
Bruant proyer,2022,12,12
Bruant zizi,2022,59,78
Busard cendré,2021,2,0
Busard des roseaux,2022,3,3
Buse variable,2022,83,135
Canard à collier noir,2019,1,0
Canard colvert,2022,211,128
Canard mandarin,2022,3,0
Cassenoix moucheté,2012,0,1
Chardonneret élégant,2022,463,254
Chevalier culblanc,2021,2,1
Chevalier guignette,2022,1,0
Chevêche d'Athéna,2022,102,33
Choucas des tours,2022,1168,152
Chouette hulotte,2022,7,42
Cigogne blanche,2022,4,6
Cigogne noire,2016,0,2
Cincle plongeur,2022,28,36
Circaète Jean-le-Blanc,2022,23,52
Cisticole des joncs,2022,106,14
Corneille mantelée,2012,0,1
Corneille noire,2022,758,84
Coucou geai,2018,0,5
Coucou gris,2020,1,23
Courlis cendré,2018,0,1
Crave à bec rouge,2022,1,5
Échasse blanche,2009,0,1
Effraie des clochers,2016,0,2
Engoulevent d'Europe,2021,2,8
Épervier d'Europe,2022,59,126
Étourneau sansonnet,2022,466,224
Faisan de Colchide,2022,38,34
Faisan vénéré,2021,1,0
Faucon crécerelle,2022,233,236
Faucon crécerellette,2013,0,2
Faucon hobereau,2022,2,13
Faucon pèlerin,2022,8,18
Fauvette à tête noire,2022,1408,514
Fauvette des jardins,2019,1,1
Fauvette mélanocéphale,2022,1358,445
Fauvette orphée,2020,1,6
Fauvette passerinette,2021,7,54
Fauvette pitchou,2022,12,32
Foulque macroule,2019,1,0
Gallinule poule-d'eau,2022,60,28
Geai des chênes,2022,231,168
Gobemouche gris,2022,6,5
Gobemouche noir,2022,7,7
Goéland leucophée,2022,1618,118
Gorgebleue à miroir,2022,2,0
Grand Corbeau,2022,40,82
Grand Cormoran,2022,49,44
Grand-duc d'Europe,2022,13,60
Grande Aigrette,2022,3,0
Grimpereau des jardins,2022,296,221
Grive draine,2015,0,6
Grive mauvis,2018,0,1
Grive musicienne,2022,59,162
Grosbec casse-noyaux,2022,10,24
Guêpier d'Europe,2022,14,33
Héron cendré,2022,41,65
Héron garde-boeufs,2022,118,41
Hibou moyen-duc,2015,0,6
Hirondelle de fenêtre,2022,85,124
Hirondelle de rivage,2013,0,4
Hirondelle de rochers,2022,50,120
Hirondelle rousseline,2016,0,5
Hirondelle rustique,2022,343,98
Huppe fasciée,2022,152,23
Hypolaïs polyglotte,2022,1,1
Linotte mélodieuse,2021,2,7
Loriot d'Europe,2022,73,16
Marouette ponctuée,2019,1,0
Martinet à ventre blanc,2022,33,103
Martinet noir,2022,479,192
Martinet pâle,2022,5,7
Martin-pêcheur d'Europe,2022,49,33
Merle noir,2022,119,272
Mésange à longue queue,2022,61,137
Mésange bleue,2022,444,495
Mésange charbonnière,2022,1155,608
Mésange huppée,2022,180,294
Mésange noire,2022,23,19
Milan noir,2022,27,15
Milan royal,2022,6,7
Moineau domestique,2022,1147,204
Moineau friquet,2022,13,7
Monticole bleu,2022,5,10
Monticole de roche,2015,0,2
Mouette rieuse,2022,77,10
Ouette d'Egypte,2012,0,3
Outarde canepetière,2022,10,2
Paon bleu,2022,1,0
Perdrix grise,2009,0,1
Perdrix rouge,2022,11,17
Perruche à collier,2017,0,4
Perruche ondulée,2021,1,0
Petit-duc scops,2022,69,106
Pic épeiche,2022,28,10
Pic épeichette,2022,21,5
Pic noir,2010,0,1
Pic vert,2022,579,153
Pie bavarde,2022,3757,523
Pie-grièche à tête rousse,2022,2,0
Pigeon biset domestique,2022,888,110
Pigeon ramier,2022,999,199
Pinson des arbres,2022,777,578
Pinson du Nord,2022,6,5
Pipit des arbres,2022,6,16
Pipit farlouse,2022,58,20
Pluvier guignard,2022,3,0
Pouillot à grands sourcils,2018,0,4
Pouillot de Bonelli,2022,11,61
Pouillot fitis,2022,4,5
Pouillot siffleur,2021,2,0
Pouillot véloce,2022,334,189
Râle d'eau,2022,4,2
Roitelet à triple bandeau,2022,38,92
Roitelet huppé,2021,10,23
Rollier d'Europe,2022,18,13
Rossignol philomèle,2022,224,127
Rougegorge familier,2022,1685,613
Rougequeue à front blanc,2022,24,19
Rougequeue noir,2022,674,266
Rousserolle effarvatte,2020,1,3
Rousserolle turdoïde,2012,0,2
Sarcelle d'hiver,2019,1,1
Serin cini,2022,849,247
Sittelle torchepot,2022,116,16
Tadorne de Belon,2011,0,1
Tarier des prés,2021,2,3
Tarier pâtre,2022,63,7
Tarin des aulnes,2022,34,84
Tichodrome échelette,2022,3,6
Torcol fourmilier,2012,0,2
Tourterelle des bois,2022,25,22
Tourterelle turque,2022,3813,485
Traquet motteux,2022,11,8
Troglodyte mignon,2022,22,83
Vanneau huppé,2012,0,3
Vautour fauve,2021,2,1
Venturon montagnard,2022,1,0
Verdier d'Europe,2022,159,110
