frname,lastobs,newcount,oldcount
Accenteur mouchet,2022,237,88
Aigle botté,2021,6,0
Aigrette garzette,2022,320,30
Alouette des champs,2022,250,256
Alouette lulu,2020,1,5
Autour des palombes,2022,5,0
Avocette élégante,2022,13,18
Barge à queue noire,2019,4,1
Barge rousse,2021,1,0
Bécasseau cocorli,2020,3,0
Bécasseau de Temminck,2021,9,0
Bécasseau maubèche,2022,7,0
Bécasseau minute,2021,25,2
Bécasseau sanderling,2022,8,3
Bécasseau variable,2022,140,27
Bécasse des bois,2019,1,0
Bécassine des marais,2022,70,44
Bécassine sourde,2022,1,0
Bergeronnette des ruisseaux,2022,214,74
Bergeronnette flavéole (M.f.flavissima),2022,3,1
Bergeronnette grise,2022,615,223
Bergeronnette printanière,2022,141,164
Bernache du Canada,2022,902,221
Bernache nonnette,2022,136,2
Bihoreau gris,2018,0,1
Blongios nain,2021,4,7
Bondrée apivore,2021,13,21
Bouscarle de Cetti,2022,58,1
Bouvreuil pivoine,2022,28,12
Bruant des roseaux,2022,81,98
Bruant jaune,2022,38,122
Bruant proyer,2022,86,192
Bruant zizi,2021,3,7
Busard cendré,2013,0,4
Busard des roseaux,2022,28,81
Busard pâle,2011,0,20
Busard Saint-Martin,2022,25,74
Buse pattue,2009,0,1
Buse variable,2022,689,381
Butor étoilé,2013,0,3
Caille des blés,2021,4,19
Canard carolin,2014,0,1
Canard chipeau,2022,700,224
Canard colvert,2022,800,304
Canard des Bahamas,2017,0,1
Canard mandarin,2022,7,1
Canard pilet,2022,155,50
Canard siffleur,2022,521,138
Canard souchet,2022,800,282
Chardonneret élégant,2022,276,118
Chevalier aboyeur,2022,114,75
Chevalier arlequin,2022,11,11
Chevalier culblanc,2022,103,68
Chevalier gambette,2022,153,79
Chevalier guignette,2022,591,194
Chevalier sylvain,2022,30,11
Chevêche d'Athéna,2022,7,8
Choucas des tours,2022,249,110
Chouette hulotte,2022,10,5
Cigogne blanche,2022,66,94
Cigogne noire,2022,4,0
Cochevis huppé,2021,1,0
Combattant varié,2022,93,17
Corbeau freux,2022,324,108
Corneille noire,2022,795,279
Coucou gris,2022,50,19
Courlis cendré,2020,6,18
Courlis corlieu,2022,16,5
Cygne noir,2019,2,19
Cygne tuberculé,2022,858,299
Dendrocygne fauve,2021,23,19
Dendrocygne veuf,2019,2,0
Échasse blanche,2022,32,4
Effraie des clochers,2022,10,3
Épervier d'Europe,2022,147,82
Érismature rousse,2009,0,1
Étourneau sansonnet,2022,667,236
Faisan de Colchide,2022,215,105
Faucon crécerelle,2022,682,314
Faucon émerillon,2022,18,16
Faucon hobereau,2022,131,109
Faucon kobez,2015,0,1
Faucon pèlerin,2022,43,29
Fauvette à tête noire,2022,395,145
Fauvette babillarde,2022,11,9
Fauvette des jardins,2022,88,50
Fauvette grisette,2022,371,225
Foulque macroule,2022,913,325
Fuligule milouin,2022,759,247
Fuligule milouinan,2022,3,0
Fuligule morillon,2022,901,308
Fuligule nyroca,2020,39,0
Gallinule poule-d'eau,2022,390,183
Garrot à oeil d'or,2022,593,108
Geai des chênes,2022,275,102
Gobemouche gris,2020,6,4
Goéland à ailes blanches,2019,2,13
Goéland argenté,2022,240,145
Goéland bourgmestre,2017,0,9
Goéland brun,2022,285,221
Goéland cendré,2022,37,78
Goéland d'Audouin,2017,0,1
Goéland leucophée,2022,416,234
Goéland marin,2022,1,7
Goéland pontique,2022,122,129
Gorgebleue à miroir,2022,17,32
Grand Cormoran,2022,861,323
Grande Aigrette,2022,272,71
Grand Gravelot,2022,24,21
Grand Labbe,2019,21,0
Grèbe à cou noir,2022,298,132
Grèbe castagneux,2022,671,247
Grèbe esclavon,2016,0,2
Grèbe huppé,2022,997,334
Grèbe jougris,2019,0,11
Grimpereau des jardins,2022,78,42
Grive draine,2022,96,51
Grive litorne,2022,76,72
Grive mauvis,2022,98,44
Grive musicienne,2022,195,66
Grosbec casse-noyaux,2022,7,11
Guifette moustac,2022,20,4
Guifette noire,2022,75,42
Harelde boréale,2015,0,1
Harle bièvre,2022,21,2
Harle huppé,2019,27,1
Harle piette,2022,152,30
Héron cendré,2022,884,323
Héron garde-boeufs,2022,88,7
Héron pourpré,2022,3,6
Hibou des marais,2022,2,1
Hibou moyen-duc,2022,11,11
Hirondelle de fenêtre,2022,172,122
Hirondelle de rivage,2022,113,66
Hirondelle rustique,2022,270,161
Huîtrier pie,2017,0,1
Huppe fasciée,2015,0,2
Hypolaïs polyglotte,2022,102,88
Ibis falcinelle,2020,1,0
Labbe parasite,2020,1,1
Linotte mélodieuse,2022,168,163
Locustelle luscinioïde,2021,1,1
Locustelle tachetée,2022,3,25
Loriot d'Europe,2022,31,10
Macreuse brune,2022,93,8
Marouette poussin,2011,0,1
Martinet noir,2021,124,81
Martin-pêcheur d'Europe,2022,459,100
Merle à plastron,2022,6,0
Merle noir,2022,501,213
Mésange à longue queue,2022,270,121
Mésange bleue,2022,445,163
Mésange boréale,2014,0,2
Mésange charbonnière,2022,493,171
Mésange huppée,2018,0,4
Mésange noire,2022,4,10
Mésange nonnette,2022,51,19
Milan noir,2022,412,275
Milan royal,2022,14,17
Moineau domestique,2022,161,69
Moineau friquet,2022,21,36
Mouette de Sabine,2020,61,0
Mouette mélanocéphale,2022,179,108
Mouette pygmée,2022,54,20
Mouette rieuse,2022,1042,403
Nette rousse,2022,615,187
Oedicnème criard,2022,167,166
Oie à tête barrée,2022,145,1
Oie cendrée,2022,64,11
Oie rieuse,2022,42,1
Ouette d'Egypte,2022,521,88
Perdrix grise,2022,18,185
Perdrix rouge,2020,1,3
Perruche à collier,2022,143,31
Petit Gravelot,2022,178,89
Phragmite aquatique,2014,0,1
Phragmite des joncs,2021,23,8
Pic épeiche,2022,249,137
Pic épeichette,2022,15,4
Pic mar,2022,4,0
Pic noir,2022,6,16
Pic vert,2022,391,143
Pie bavarde,2022,535,156
Pie-grièche écorcheur,2021,5,0
Pigeon biset domestique,2022,143,51
Pigeon colombin,2022,208,142
Pigeon ramier,2022,676,272
Pinson des arbres,2022,527,205
Pinson du Nord,2022,36,17
Pipit des arbres,2022,7,11
Pipit farlouse,2022,106,75
Pipit rousseline,2022,2,1
Pipit spioncelle,2022,226,36
Plongeon catmarin,2018,0,2
Pluvier argenté,2020,2,0
Pluvier doré,2022,93,122
Pouillot fitis,2022,67,41
Pouillot véloce,2022,475,143
Râle d'eau,2022,13,15
Rémiz penduline,2021,2,0
Roitelet à triple bandeau,2022,11,17
Roitelet huppé,2022,27,26
Rossignol philomèle,2022,195,81
Rougegorge familier,2022,527,142
Rougequeue à front blanc,2022,13,9
Rougequeue noir,2022,98,58
Rousserolle effarvatte,2021,47,38
Rousserolle turdoïde,2021,5,2
Rousserolle verderolle,2021,93,51
Sarcelle d'été,2022,104,21
Sarcelle d'hiver,2022,370,94
Serin cini,2022,4,11
Sittelle torchepot,2022,24,24
Sizerin cabaret,2021,4,0
Sizerin flammé,2021,4,0
Spatule blanche,2021,4,0
Sterne arctique,2015,0,1
Sterne caugek,2020,1,0
Sterne naine,2019,1,2
Sterne pierregarin,2022,465,219
Tadorne casarca,2021,17,2
Tadorne de Belon,2022,131,33
Tarier des prés,2022,6,23
Tarier pâtre,2022,153,171
Tarin des aulnes,2022,17,9
Torcol fourmilier,2020,1,0
Tournepierre à collier,2021,6,4
Tourterelle des bois,2022,138,114
Tourterelle turque,2022,126,106
Traquet motteux,2022,22,47
Troglodyte mignon,2022,362,116
Vanneau huppé,2022,799,439
Verdier d'Europe,2022,121,81
