frname,lastobs,newcount,oldcount
Accenteur mouchet,2023,13,21
Aigle botté,2022,65,90
Aigle royal,2022,2,0
Aigrette garzette,2023,468,631
Alouette calandre,2023,87,90
Alouette calandrelle,2022,258,378
Alouette des champs,2023,413,541
Alouette lulu,2022,25,29
Autour des palombes,2021,1,3
Avocette élégante,2022,27,15
Barge à queue noire,2022,18,14
Barge rousse,2013,0,1
Bécasseau cocorli,2019,2,3
Bécasseau de Temminck,2020,9,3
Bécasseau maubèche,2020,1,0
Bécasseau minute,2020,1,5
Bécasseau variable,2021,9,6
Bécasse des bois,2021,6,6
Bécassine des marais,2023,190,156
Bécassine sourde,2014,0,1
Bergeronnette des ruisseaux,2023,45,59
Bergeronnette flavéole (M.f.flavissima),2019,1,1
Bergeronnette grise,2023,215,137
Bergeronnette printanière,2022,142,135
Bernache nonnette,2020,4,2
Bihoreau gris,2022,169,176
Blongios nain,2022,64,38
Bondrée apivore,2022,85,135
Bouscarle de Cetti,2023,790,969
Bruant des neiges,2016,0,1
Bruant des roseaux,2023,59,160
Bruant fou,2023,3,15
Bruant jaune,2023,1,2
Bruant nain,2011,0,1
Bruant ortolan,2017,0,2
Bruant proyer,2023,206,400
Bruant zizi,2023,8,17
Busard cendré,2022,109,204
Busard des roseaux,2023,285,405
Busard pâle,2021,3,1
Busard Saint-Martin,2023,123,116
Buse variable,2023,317,845
Butor étoilé,2022,55,64
Caille des blés,2022,9,21
Canard chipeau,2023,298,324
Canard colvert,2023,477,583
Canard pilet,2022,22,26
Canard siffleur,2022,58,56
Canard souchet,2023,262,151
Chardonneret élégant,2023,160,394
Chevalier aboyeur,2022,58,76
Chevalier arlequin,2022,23,34
Chevalier culblanc,2023,322,260
Chevalier gambette,2021,12,16
Chevalier guignette,2022,63,73
Chevalier stagnatile,2022,1,1
Chevalier sylvain,2022,141,132
Chevêche d'Athéna,2023,79,182
Choucas des tours,2023,498,950
Chouette hulotte,2022,25,47
Cigogne blanche,2023,761,1029
Cigogne noire,2022,39,40
Circaète Jean-le-Blanc,2022,184,265
Cisticole des joncs,2023,276,350
Cochevis huppé,2023,237,416
Combattant varié,2022,33,35
Corbeau freux,2022,60,83
Cormoran pygmée,2014,0,2
Corneille mantelée,2020,1,1
Corneille noire,2023,355,799
Coucou geai,2022,113,85
Coucou gris,2022,231,249
Courlis cendré,2022,36,43
Courlis corlieu,2022,4,3
Crabier chevelu,2022,257,222
Cygne chanteur,2015,0,1
Cygne noir,2020,2,1
Cygne tuberculé,2023,311,375
Échasse blanche,2022,304,169
Effraie des clochers,2021,3,18
Élanion blanc,2011,0,1
Engoulevent d'Europe,2021,7,7
Épervier d'Europe,2022,127,198
Etourneau roselin,2021,6,2
Étourneau sansonnet,2023,298,578
Faisan de Colchide,2023,131,202
Faisan vénéré,2020,4,0
Faucon crécerelle,2022,215,613
Faucon crécerellette,2022,407,767
Faucon d'Eléonore,2022,6,10
Faucon émerillon,2023,70,95
Faucon hobereau,2022,114,92
Faucon kobez,2022,103,108
Faucon pèlerin,2023,38,83
Fauvette à tête noire,2023,143,215
Fauvette babillarde,2018,0,2
Fauvette des jardins,2022,15,7
Fauvette grisette,2022,4,6
Fauvette mélanocéphale,2023,241,248
Fauvette orphée,2022,1,0
Fauvette passerinette,2022,10,33
Fauvette pitchou,2020,7,17
Flamant rose,2023,197,116
Foulque macroule,2023,438,554
Fuligule milouin,2023,93,115
Fuligule morillon,2023,68,92
Fuligule nyroca,2022,35,17
Gallinule poule-d'eau,2023,321,446
Ganga cata,2023,142,325
Garrot à oeil d'or,2015,0,4
Geai des chênes,2022,13,116
Glaréole à collier,2022,20,33
Gobemouche gris,2022,27,20
Gobemouche noir,2022,103,150
Goéland brun,2017,0,2
Goéland cendré,2013,0,4
Goéland leucophée,2023,257,430
Goéland railleur,2021,1,1
Gorgebleue à miroir,2022,5,11
Grand Corbeau,2023,2,3
Grand Cormoran,2023,304,455
Grand-duc d'Europe,2021,7,5
Grande Aigrette,2023,388,632
Grand Gravelot,2021,10,13
Gravelot à collier interrompu,2013,0,1
Grèbe à bec bigarré,2014,0,59
Grèbe à cou noir,2023,34,49
Grèbe castagneux,2023,241,234
Grèbe huppé,2023,171,397
Grimpereau des jardins,2023,40,92
Grive draine,2022,14,9
Grive litorne,2023,15,19
Grive mauvis,2022,1,3
Grive musicienne,2022,20,68
Grosbec casse-noyaux,2018,0,1
Guêpier d'Europe,2022,333,498
Guifette leucoptère,2017,0,4
Guifette moustac,2022,21,20
Guifette noire,2022,18,20
Héron cendré,2023,464,699
Héron garde-boeufs,2023,523,913
Héron pourpré,2022,275,342
Hibou des marais,2020,1,0
Hibou moyen-duc,2020,1,9
Hirondelle de fenêtre,2022,53,93
Hirondelle de rivage,2022,63,123
Hirondelle de rochers,2022,2,4
Hirondelle rousseline,2022,13,12
Hirondelle rustique,2022,288,529
Huppe fasciée,2022,326,454
Hypolaïs polyglotte,2022,102,193
Ibis falcinelle,2023,439,331
Ibis sacré,2022,8,3
Linotte mélodieuse,2023,86,147
Locustelle luscinioïde,2022,6,6
Locustelle tachetée,2022,2,3
Loriot d'Europe,2022,81,79
Lusciniole à moustaches,2022,51,66
Macreuse brune,2010,0,3
Macreuse noire,2009,0,2
Marouette ponctuée,2020,1,6
Marouette poussin,2022,11,0
Martinet à ventre blanc,2022,39,45
Martinet noir,2022,183,273
Martinet pâle,2022,4,0
Martin-pêcheur d'Europe,2023,357,460
Merle à plastron,2020,1,0
Merle noir,2023,79,206
Mésange à longue queue,2023,126,250
Mésange bleue,2023,164,389
Mésange charbonnière,2023,198,371
Mésange huppée,2021,2,0
Mésange noire,2017,0,2
Milan noir,2022,514,1058
Milan royal,2023,80,141
Moineau domestique,2022,61,156
Moineau friquet,2022,6,39
Monticole de roche,2007,0,1
Mouette mélanocéphale,2023,55,81
Mouette pygmée,2018,0,12
Mouette rieuse,2023,220,341
Nette rousse,2023,159,293
Oedicnème criard,2023,573,865
Oie cendrée,2022,108,103
Oie rieuse,2020,1,0
Ouette d'Egypte,2020,1,2
Outarde canepetière,2023,260,432
Panure à moustaches,2022,19,24
Pélican blanc,2020,3,0
Perdrix grise,2014,0,3
Perdrix rouge,2022,162,415
Perruche ondulée,2022,1,0
Petit-duc scops,2022,8,12
Petit Gravelot,2022,70,55
Phalarope à bec large,2019,2,0
Phragmite des joncs,2022,6,4
Pic épeiche,2023,95,157
Pic épeichette,2023,85,114
Pic vert,2023,333,661
Pie bavarde,2023,466,898
Pie-grièche à tête rousse,2022,28,38
Pie-grièche écorcheur,2022,45,66
Pie-grièche méridionale,2023,315,432
Pigeon biset domestique,2023,81,50
Pigeon colombin,2023,11,14
Pigeon ramier,2022,208,307
Pinson des arbres,2023,94,229
Pinson du Nord,2019,1,3
Pipit à gorge rousse,2022,3,0
Pipit de Richard,2023,10,20
Pipit des arbres,2022,21,34
Pipit farlouse,2023,193,392
Pipit rousseline,2022,249,461
Pipit spioncelle,2023,48,74
Plongeon imbrin,2020,28,1
Pluvier argenté,2022,4,0
Pluvier doré,2023,72,68
Pluvier guignard,2022,29,158
Pouillot à grands sourcils,2020,2,4
Pouillot de Bonelli,2022,6,12
Pouillot fitis,2022,53,64
Pouillot siffleur,2019,1,12
Pouillot véloce,2023,248,352
Râle d'eau,2023,326,394
Rémiz penduline,2022,28,81
Roitelet à triple bandeau,2023,25,51
Roitelet huppé,2020,3,25
Rollier d'Europe,2022,576,769
Rossignol philomèle,2022,511,552
Rougegorge familier,2023,206,342
Rougequeue à front blanc,2022,36,32
Rougequeue noir,2023,149,219
Rousserolle effarvatte,2022,172,197
Rousserolle turdoïde,2022,135,160
Sarcelle d'été,2022,75,68
