frname,lastobs,newcount,oldcount
Accenteur alpin,2023,3,3
Accenteur mouchet,2023,20,22
Aigle royal,2023,12,15
Alouette des champs,2023,2,7
Alouette lulu,2023,19,10
Autour des palombes,2021,8,7
Bécasse des bois,2017,0,6
Bec-croisé des sapins,2023,6,12
Bergeronnette des ruisseaux,2023,25,31
Bergeronnette grise,2023,9,19
Bergeronnette printanière,2019,1,0
Bondrée apivore,2022,3,12
Bouvreuil pivoine,2023,8,18
Bruant fou,2023,62,36
Bruant ortolan,2021,7,7
Bruant zizi,2023,4,10
Busard cendré,2007,0,1
Busard des roseaux,2014,0,1
Busard Saint-Martin,2014,0,1
Buse variable,2023,15,20
Canard colvert,2020,1,2
Cassenoix moucheté,2020,3,4
Chardonneret élégant,2023,15,34
Chevalier culblanc,2011,0,2
Chevêche d'Athéna,2007,0,1
Chocard à bec jaune,2022,4,9
Chouette de Tengmalm,2009,0,1
Chouette hulotte,2022,2,7
Cincle plongeur (C.c.cinclus),2023,14,24
Circaète Jean-le-Blanc,2023,19,16
Corneille noire,2023,30,22
Coucou gris,2023,50,37
Crave à bec rouge,2023,6,11
Engoulevent d'Europe,2020,3,4
Épervier d'Europe,2023,5,10
Étourneau sansonnet,2023,1,2
Faisan de Colchide,2010,0,1
Faucon crécerelle,2023,16,20
Faucon hobereau,2007,0,1
Faucon pèlerin,2020,2,13
Fauvette à tête noire,2023,173,198
Fauvette babillarde,2020,1,2
Fauvette grisette,2021,4,3
Fauvette mélanocéphale,2023,19,19
Fauvette orphée,2023,3,0
Fauvette passerinette,2023,63,18
Fauvette pitchou,2023,20,12
Geai des chênes,2023,93,110
Gobemouche gris,2020,3,0
Gobemouche noir,2017,0,2
Grand Corbeau,2023,32,45
Grand Cormoran,2020,1,5
Grand-duc d'Europe,2019,3,3
Grimpereau des bois,2017,0,6
Grimpereau des jardins,2023,41,64
Grive draine,2023,63,53
Grive litorne,2023,2,1
Grive mauvis,2022,1,1
Grive musicienne,2023,20,20
Grosbec casse-noyaux,2020,2,3
Guêpier d'Europe,2020,1,1
Héron cendré,2019,1,8
Hirondelle de fenêtre,2023,13,15
Hirondelle de rochers,2023,31,44
Hirondelle rustique,2022,13,8
Huppe fasciée,2020,2,2
Lagopède alpin,2009,0,1
Linotte mélodieuse,2023,31,9
Martinet à ventre blanc,2020,3,2
Martinet noir,2023,23,16
Martin-pêcheur d'Europe,2012,0,2
Merle à plastron,2023,2,1
Merle noir,2023,186,190
Mésange à longue queue,2023,41,58
Mésange bleue,2023,51,71
Mésange boréale,2020,1,7
Mésange charbonnière,2023,75,105
Mésange huppée,2023,72,104
Mésange noire,2023,123,140
Mésange nonnette,2023,25,42
Milan noir,2020,1,0
Moineau cisalpin,2023,11,15
Moineau domestique,2023,15,13
Monticole bleu,2022,2,4
Monticole de roche,2009,0,4
Niverolle alpine,2009,0,2
Perdrix rouge,2023,6,7
Petit-duc scops,2023,1,4
Pic épeiche,2023,12,26
Pic épeichette,2009,0,1
Pic noir,2023,10,26
Pic vert,2023,29,57
Pie bavarde,2023,9,18
Pie-grièche écorcheur,2023,15,8
Pigeon biset domestique,2017,0,3
Pigeon ramier,2023,18,12
Pinson des arbres,2023,245,297
Pinson du Nord,2018,0,1
Pipit des arbres,2022,23,13
Pipit farlouse,2023,5,2
Pipit rousseline,2021,2,4
Pipit spioncelle,2023,12,1
Pluvier guignard,2018,0,3
Pouillot de Bonelli,2023,77,64
Pouillot fitis,2020,3,3
Pouillot véloce,2023,75,71
Roitelet à triple bandeau,2023,54,65
Roitelet huppé,2022,5,15
Rossignol philomèle,2023,6,1
Rougegorge familier,2023,183,221
Rougequeue à front blanc,2022,9,6
Rougequeue noir,2023,29,45
Serin cini,2023,31,34
Sittelle torchepot,2023,33,47
Tarier pâtre,2023,33,9
Tarin des aulnes,2023,25,0
Tétras lyre,2017,0,5
Tichodrome échelette,2022,2,0
Torcol fourmilier,2023,14,7
Tourterelle turque,2010,0,1
Traquet motteux,2020,2,5
Troglodyte mignon,2023,51,68
Vautour fauve,2023,7,7
Vautour moine,2019,1,0
Venturon montagnard,2023,5,12
Verdier d'Europe,2023,13,16
