frname,lastobs,newcount,oldcount
Accenteur mouchet,2022,19,23
Aigrette garzette,2022,71,30
Alouette des champs,2021,6,8
Alouette lulu,2022,17,14
Autour des palombes,2012,0,2
Barge à queue noire,2022,10,9
Bécasseau variable,2013,0,2
Bécasse des bois,2017,0,12
Bécassine des marais,2022,10,17
Bécassine sourde,2014,0,5
Bergeronnette des ruisseaux,2022,6,7
Bergeronnette grise,2023,27,20
Bergeronnette printanière,2022,14,10
Bernache cravant,2020,1,0
Bernache nonnette,2023,2,0
Bihoreau gris,2022,16,4
Bondrée apivore,2021,6,2
Bouscarle de Cetti,2022,26,27
Bouvreuil pivoine,2022,3,13
Bruant des roseaux,2023,13,13
Bruant jaune,2022,5,9
Bruant proyer,2019,2,0
Bruant zizi,2022,4,9
Busard des roseaux,2023,49,27
Busard Saint-Martin,2021,1,3
Buse variable,2023,109,57
Butor étoilé,2016,0,3
Caille des blés,2020,1,0
Canard chipeau,2022,12,8
Canard colvert,2022,57,23
Canard pilet,2022,12,12
Canard siffleur,2022,8,9
Canard souchet,2023,37,19
Chardonneret élégant,2022,12,19
Chevalier aboyeur,2021,1,0
Chevalier culblanc,2022,22,20
Chevalier gambette,2021,5,8
Chevalier guignette,2022,4,2
Chevêche d'Athéna,2020,2,13
Choucas des tours,2022,9,18
Chouette hulotte,2022,6,33
Cigogne blanche,2023,75,49
Cigogne noire,2020,3,6
Cisticole des joncs,2022,17,9
Combattant varié,2022,5,3
Corbeau freux,2022,2,0
Corneille noire,2023,34,18
Coucou gris,2022,26,18
Courlis cendré,2022,7,13
Courlis corlieu,2022,4,3
Crabier chevelu,2011,0,1
Cygne chanteur,2018,0,2
Cygne noir,2022,5,0
Cygne tuberculé,2023,53,16
Échasse blanche,2022,6,5
Effraie des clochers,2022,12,24
Engoulevent d'Europe,2018,0,3
Épervier d'Europe,2023,11,12
Étourneau sansonnet,2023,54,31
Faisan de Colchide,2021,18,12
Faucon crécerelle,2022,20,26
Faucon émerillon,2023,2,0
Faucon hobereau,2022,4,6
Faucon pèlerin,2022,1,5
Fauvette à tête noire,2022,34,27
Fauvette des jardins,2022,11,5
Fauvette grisette,2022,6,9
Fauvette pitchou,2021,1,0
Foulque macroule,2022,49,21
Fuligule milouin,2022,1,2
Fuligule morillon,2020,1,0
Gallinule poule-d'eau,2022,26,27
Geai des chênes,2023,58,35
Gobemouche gris,2021,3,3
Gobemouche noir,2021,3,0
Goéland argenté,2022,21,15
Goéland brun,2023,23,11
Goéland cendré,2022,2,1
Goéland leucophée,2023,9,3
Goéland marin,2023,19,9
Gorgebleue à miroir,2022,4,3
Grand Cormoran,2023,54,25
Grande Aigrette,2022,106,50
Grand Gravelot,2021,2,1
Grèbe castagneux,2023,7,2
Grèbe huppé,2022,4,0
Grimpereau des jardins,2022,18,26
Grive draine,2022,27,28
Grive litorne,2021,3,6
Grive mauvis,2022,8,6
Grive musicienne,2022,26,24
Grosbec casse-noyaux,2012,0,1
Guifette moustac,2021,5,7
Guifette noire,2019,2,8
Héron cendré,2023,100,36
Héron garde-boeufs,2023,70,33
Héron pourpré,2022,3,2
Hibou moyen-duc,2014,0,1
Hirondelle de fenêtre,2022,14,12
Hirondelle de rivage,2021,3,4
Hirondelle rustique,2022,14,21
Huppe fasciée,2020,4,7
Hypolaïs polyglotte,2022,14,10
Ibis falcinelle,2020,3,3
Ibis sacré,2022,46,23
Linotte mélodieuse,2022,1,8
Locustelle luscinioïde,2021,1,4
Loriot d'Europe,2022,9,10
Marouette ponctuée,2016,0,1
Martinet noir,2022,20,10
Martin-pêcheur d'Europe,2022,33,23
Merle noir,2023,46,51
Mésange à longue queue,2022,35,26
Mésange bleue,2023,76,57
Mésange charbonnière,2023,73,39
Mésange huppée,2021,3,6
Mésange noire,2012,0,1
Mésange nonnette,2011,0,2
Milan noir,2022,46,29
Milan royal,2019,1,0
Moineau domestique,2023,39,25
Mouette mélanocéphale,2021,4,4
Mouette pygmée,2023,2,0
Mouette rieuse,2022,44,21
Mouette tridactyle,2022,1,0
Oie cendrée,2019,2,3
Perdrix rouge,2020,3,4
Petit Gravelot,2016,0,2
Phragmite des joncs,2022,17,8
Pic épeiche,2022,36,16
Pic épeichette,2022,8,6
Pic mar,2013,0,3
Pic noir,2019,0,6
Pic vert,2022,41,24
Pie bavarde,2023,33,26
Pie-grièche écorcheur,2022,2,8
Pigeon biset domestique,2023,4,2
Pigeon ramier,2023,63,42
Pinson des arbres,2023,69,47
Pinson du Nord,2012,0,2
Pipit des arbres,2021,4,0
Pipit farlouse,2023,9,18
Pipit maritime,2022,1,0
Pipit spioncelle,2023,8,4
Pluvier doré,2022,5,7
Pouillot fitis,2022,1,2
Pouillot véloce,2023,46,31
Râle d'eau,2022,7,5
Roitelet à triple bandeau,2021,12,8
Roitelet huppé,2021,8,13
Rossignol philomèle,2020,4,8
Rougegorge familier,2023,88,62
Rougequeue noir,2022,29,5
Rousserolle effarvatte,2022,11,3
Sarcelle d'été,2022,4,2
Sarcelle d'hiver,2023,14,16
Serin cini,2022,6,5
Sittelle torchepot,2023,34,24
Spatule blanche,2022,63,30
Tadorne casarca,2021,1,0
Tadorne de Belon,2022,29,18
Talève sultane,2022,1,0
Tarier des prés,2017,0,1
Tarier pâtre,2022,11,24
Tarin des aulnes,2022,3,2
Tourterelle des bois,2022,24,20
Tourterelle turque,2023,24,18
Traquet motteux,2021,1,5
Troglodyte mignon,2022,22,28
Vanneau huppé,2023,55,44
Verdier d'Europe,2022,5,12
