frname,lastobs,newcount,oldcount
Accenteur mouchet,2023,196,205
Aigle botté,2022,28,14
Aigle criard,2017,0,4
Aigrette garzette,2023,86,66
Alouette des champs,2023,33,84
Alouette lulu,2022,6,7
Autour des palombes,2014,0,2
Bécasseau variable,2020,1,0
Bécasse des bois,2021,1,1
Bécassine des marais,2023,11,9
Bergeronnette des ruisseaux,2023,33,45
Bergeronnette grise,2023,205,200
Bergeronnette printanière,2022,5,4
Bernache du Canada,2023,1,0
Bihoreau gris,2022,50,37
Bondrée apivore,2021,5,4
Bouscarle de Cetti,2023,138,72
Bouvreuil pivoine,2022,1,1
Bruant des roseaux,2023,14,83
Bruant jaune,2020,1,3
Bruant proyer,2022,36,102
Bruant zizi,2023,41,54
Busard des roseaux,2020,1,1
Busard pâle,2018,0,76
Busard Saint-Martin,2019,5,85
Buse variable,2023,89,188
Caille des blés,2022,5,4
Calopsitte élégante,2021,1,0
Canard carolin,2020,1,0
Canard chipeau,2022,7,10
Canard colvert,2023,176,199
Canard mandarin,2023,6,3
Canard pilet,2014,0,1
Canard siffleur,2021,1,0
Canard souchet,2022,3,6
Chardonneret élégant,2023,280,162
Chevalier aboyeur,2021,1,1
Chevalier culblanc,2023,7,12
Chevalier gambette,2016,0,1
Chevalier guignette,2022,8,8
Chevalier sylvain,2022,2,0
Chevêche d'Athéna,2022,33,50
Choucas des tours,2023,58,70
Chouette hulotte,2022,15,21
Cigogne blanche,2022,3,1
Cincle plongeur,2020,4,0
Circaète Jean-le-Blanc,2019,3,3
Cisticole des joncs,2023,172,122
Cochevis huppé,2022,5,26
Corbeau freux,2022,3,14
Corneille noire,2023,409,378
Coucou geai,2012,0,1
Coucou gris,2022,12,16
Courlis cendré,2009,0,1
Crabier chevelu,2022,19,0
Cygne tuberculé,2023,6,5
Échasse blanche,2022,7,0
Effraie des clochers,2022,8,18
Élanion blanc,2023,37,204
Épervier d'Europe,2023,43,41
Étourneau sansonnet,2023,779,411
Faisan de Colchide,2022,10,17
Faucon crécerelle,2023,162,331
Faucon hobereau,2022,11,9
Faucon pèlerin,2021,4,5
Fauvette à tête noire,2023,441,199
Fauvette des jardins,2022,3,7
Fauvette grisette,2022,54,46
Fauvette mélanocéphale,2023,42,33
Fauvette pitchou,2018,0,9
Foulque macroule,2023,95,126
Fuligule milouin,2021,3,20
Fuligule morillon,2016,0,6
Gallinule poule-d'eau,2023,107,88
Garrot à oeil d'or,2018,0,2
Geai des chênes,2023,137,123
Glaréole à collier,2012,0,2
Gobemouche gris,2022,9,6
Gobemouche noir,2022,60,32
Goéland argenté,2022,2,1
Goéland leucophée,2023,136,128
Gorgebleue à miroir,2013,0,1
Grand Corbeau,2022,1,0
Grand Cormoran,2023,119,140
Grand-duc d'Europe,2009,0,1
Grande Aigrette,2022,46,136
Grèbe à cou noir,2016,0,1
Grèbe castagneux,2023,24,21
Grèbe huppé,2023,123,135
Grimpereau des bois,2020,1,0
Grimpereau des jardins,2023,129,110
Grive draine,2022,4,5
Grive litorne,2017,0,2
Grive mauvis,2022,9,11
Grive musicienne,2023,69,53
Grosbec casse-noyaux,2022,13,202
Guêpier d'Europe,2020,1,1
Guifette moustac,2020,10,1
Guifette noire,2022,4,2
Héron cendré,2023,76,184
Héron garde-boeufs,2023,113,124
Héron pourpré,2022,27,22
Hibou moyen-duc,2022,19,3
Hirondelle de fenêtre,2022,43,32
Hirondelle de rivage,2021,4,0
Hirondelle rustique,2022,117,72
Huppe fasciée,2023,269,121
Hypolaïs polyglotte,2022,65,56
Linotte mélodieuse,2023,4,25
Locustelle tachetée,2019,1,0
Loriot d'Europe,2022,49,49
Martinet noir,2022,108,59
Martin-pêcheur d'Europe,2023,74,54
Merle noir,2023,1551,734
Mésange à longue queue,2023,272,229
Mésange bleue,2023,826,658
Mésange charbonnière,2023,1398,889
Mésange huppée,2020,1,1
Mésange noire,2022,153,144
Mésange nonnette,2023,4,3
Milan noir,2023,267,152
Milan royal,2023,41,30
Moineau domestique,2023,693,685
Moineau friquet,2022,29,31
Moineau soulcie,2022,2,0
Mouette mélanocéphale,2021,1,1
Mouette rieuse,2023,75,62
Nette rousse,2020,1,8
Oedicnème criard,2022,1,2
Oie cendrée,2022,2,1
Perdrix rouge,2022,2,4
Perruche à collier,2023,198,93
Petit-duc scops,2019,1,0
Petit Gravelot,2018,0,3
Pic épeiche,2023,79,72
Pic épeichette,2022,27,17
Pic mar,2022,5,0
Pic noir,2022,25,13
Pic vert,2023,336,282
Pie bavarde,2023,938,623
Pie-grièche écorcheur,2021,4,1
Pigeon biset domestique,2023,523,311
Pigeon biset (origine naturelle),2017,0,4
Pigeon colombin,2023,23,29
Pigeon ramier,2023,675,398
Pinson des arbres,2023,766,641
Pinson du Nord,2023,175,70
Pipit des arbres,2022,8,2
Pipit farlouse,2023,31,128
Plongeon imbrin,2019,0,16
Pouillot à grands sourcils,2018,0,2
Pouillot de Bonelli,2022,18,9
Pouillot fitis,2022,28,18
Pouillot ibérique,2017,0,1
Pouillot véloce,2023,239,193
Râle d'eau,2021,3,5
Rémiz penduline,2019,2,2
Roitelet à triple bandeau,2022,33,36
Roitelet huppé,2022,15,14
Rollier d'Europe,2021,1,0
Rossignol philomèle,2022,136,115
Rougegorge familier,2023,1026,621
Rougequeue à front blanc,2022,13,5
Rougequeue noir,2023,234,116
Rousserolle effarvatte,2021,2,3
Sarcelle d'hiver,2021,4,1
Serin cini,2023,77,210
Sittelle torchepot,2023,212,101
Sterne pierregarin,2022,11,10
Tadorne de Belon,2021,1,1
Tarier des prés,2021,1,1
Tarier pâtre,2023,53,116
Tarin des aulnes,2023,21,112
Torcol fourmilier,2020,1,1
Tourterelle des bois,2022,34,55
Tourterelle turque,2023,823,508
Traquet motteux,2020,2,2
Troglodyte mignon,2023,135,114
Vanneau huppé,2022,2,12
Verdier d'Europe,2023,629,601
