frname,lastobs,newcount,oldcount
Accenteur mouchet,2022,17,57
Aigle royal,2021,4,8
Aigrette garzette,2022,6,40
Alouette des champs,2020,9,13
Alouette lulu,2022,113,188
Autour des palombes,2020,2,6
Bécasseau variable,2021,1,0
Bécasse des bois,2021,1,3
Bec-croisé des sapins,2019,1,2
Bergeronnette des ruisseaux,2022,57,79
Bergeronnette grise,2022,197,271
Bergeronnette printanière,2022,10,1
Bihoreau gris,2012,0,2
Blongios nain,2017,0,1
Bondrée apivore,2020,6,23
Bouscarle de Cetti,2022,22,68
Bouvreuil pivoine,2020,2,2
Bruant des roseaux,2021,2,47
Bruant fou,2022,8,7
Bruant jaune,2021,3,2
Bruant proyer,2021,1,9
Bruant zizi,2022,187,360
Busard cendré,2012,0,1
Busard des roseaux,2016,0,4
Busard Saint-Martin,2022,1,1
Buse variable,2022,105,204
Caille des blés,2012,0,1
Canard colvert,2022,3,16
Chardonneret élégant,2022,345,514
Chevalier culblanc,2022,5,10
Chevalier guignette,2020,1,24
Chevêche d'Athéna,2018,0,7
Choucas des tours,2022,150,171
Chouette hulotte,2022,18,22
Cigogne blanche,2019,1,3
Cigogne noire,2022,1,3
Cincle plongeur,2022,4,6
Circaète Jean-le-Blanc,2022,40,97
Cisticole des joncs,2020,3,15
Cochevis huppé,2014,0,3
Corbeau freux,2022,6,1
Corneille mantelée,2019,1,0
Corneille noire,2022,223,258
Coucou gris,2021,13,38
Effraie des clochers,2013,0,2
Engoulevent d'Europe,2021,6,9
Épervier d'Europe,2022,67,115
Étourneau sansonnet,2022,240,292
Faisan de Colchide,2022,13,14
Faucon crécerelle,2022,127,211
Faucon émerillon,2020,1,0
Faucon hobereau,2021,7,17
Faucon kobez,2015,0,1
Faucon pèlerin,2022,11,19
Fauvette à tête noire,2022,496,602
Fauvette des jardins,2019,1,4
Fauvette grisette,2021,5,6
Fauvette mélanocéphale,2022,335,432
Fauvette passerinette,2021,5,17
Fauvette pitchou,2018,0,2
Gallinule poule-d'eau,2017,0,7
Geai des chênes,2022,263,362
Gobemouche gris,2018,0,6
Gobemouche noir,2021,37,111
Goéland brun,2017,0,1
Goéland leucophée,2022,5,16
Grand Corbeau,2022,33,24
Grand Cormoran,2022,34,47
Grand-duc d'Europe,2022,11,19
Grande Aigrette,2022,5,10
Grimpereau des jardins,2022,123,267
Grive draine,2022,137,164
Grive litorne,2022,19,44
Grive mauvis,2022,17,20
Grive musicienne,2022,105,181
Grosbec casse-noyaux,2022,36,62
Guêpier d'Europe,2022,100,152
Héron cendré,2022,79,156
Héron garde-boeufs,2020,2,1
Héron pourpré,2020,2,1
Hibou moyen-duc,2021,2,1
Hirondelle de fenêtre,2022,79,174
Hirondelle de rivage,2015,0,2
Hirondelle de rochers,2022,11,14
Hirondelle rousseline,2009,0,1
Hirondelle rustique,2022,92,112
Huppe fasciée,2022,56,51
Hypolaïs polyglotte,2021,24,22
Linotte mélodieuse,2022,25,60
Locustelle tachetée,2020,1,2
Loriot d'Europe,2021,26,38
Martinet à ventre blanc,2022,3,11
Martinet noir,2022,80,132
Martin-pêcheur d'Europe,2021,19,22
Merle noir,2022,507,707
Mésange à longue queue,2022,55,132
Mésange bleue,2022,260,417
Mésange charbonnière,2022,476,658
Mésange huppée,2022,36,39
Mésange noire,2022,57,25
Mésange nonnette,2020,2,1
Milan noir,2022,69,102
Milan royal,2022,11,10
Moineau domestique,2022,345,359
Moineau friquet,2022,3,16
Moineau soulcie,2019,1,1
Monticole bleu,2014,0,1
Oedicnème criard,2015,0,4
Perdrix rouge,2021,2,5
Petit-duc scops,2022,41,42
Petit Gravelot,2022,38,43
Pic épeiche,2022,96,159
Pic épeichette,2022,18,27
Pic noir,2020,2,2
Pic vert,2022,128,219
Pie bavarde,2022,298,413
Pie-grièche à tête rousse,2018,0,55
Pie-grièche écorcheur,2021,17,20
Pigeon biset domestique,2022,103,69
Pigeon colombin,2011,0,1
Pigeon ramier,2022,239,267
Pinson des arbres,2022,424,488
Pinson du Nord,2022,25,20
Pipit des arbres,2021,5,26
Pipit farlouse,2022,34,87
Pipit rousseline,2021,3,4
Pipit spioncelle,2011,0,1
Pouillot de Bonelli,2022,33,82
Pouillot fitis,2021,7,11
Pouillot siffleur,2022,2,1
Pouillot véloce,2022,62,73
Roitelet à triple bandeau,2022,109,136
Roitelet huppé,2022,10,28
Rollier d'Europe,2021,40,93
Rossignol philomèle,2022,97,89
Rougegorge familier,2022,396,582
Rougequeue à front blanc,2022,65,85
Rougequeue noir,2022,332,424
Rousserolle effarvatte,2020,5,4
Rousserolle turdoïde,2016,0,1
Serin cini,2022,315,386
Sittelle torchepot,2022,43,50
Tarier des prés,2020,2,7
Tarier pâtre,2022,63,80
Tarin des aulnes,2022,52,55
Torcol fourmilier,2021,3,0
Tourterelle des bois,2022,22,70
Tourterelle turque,2022,360,504
Traquet motteux,2021,3,8
Troglodyte mignon,2022,40,141
Vanneau huppé,2017,0,2
Vautour fauve,2021,12,29
Vautour moine,2021,1,2
Venturon montagnard,2022,18,28
Verdier d'Europe,2022,231,293
