frname,lastobs,newcount,oldcount
Accenteur mouchet,2023,26,51
Aigle botté,2022,3,2
Aigrette garzette,2023,44,119
Alouette des champs,2023,27,53
Alouette lulu,2023,93,67
Autour des palombes,2020,2,2
Avocette élégante,2010,0,1
Bécasseau variable,2014,0,1
Bécasse des bois,2019,1,1
Bécassine des marais,2019,2,18
Bécassine sourde,2021,1,0
Bec-croisé des sapins,2020,1,1
Bergeronnette des ruisseaux,2023,172,115
Bergeronnette grise,2023,98,197
Bergeronnette printanière,2023,14,43
Bernache nonnette,2022,9,0
Bihoreau gris,2023,40,80
Bondrée apivore,2022,6,6
Bouvreuil pivoine,2020,4,8
Bruant des roseaux,2016,0,11
Bruant jaune,2023,6,7
Bruant proyer,2023,142,83
Bruant zizi,2023,62,53
Busard des roseaux,2023,1,2
Busard Saint-Martin,2023,2,8
Buse variable,2023,248,406
Caille des blés,2022,6,10
Canard chipeau,2012,0,13
Canard colvert,2023,336,476
Canard mandarin,2023,12,3
Canard pilet,2013,0,3
Canard siffleur,2017,0,12
Canard souchet,2022,8,12
Chardonneret élégant,2023,246,232
Chevalier culblanc,2022,7,13
Chevalier gambette,2016,0,2
Chevalier guignette,2023,13,8
Chevêche d'Athéna,2023,34,39
Choucas des tours,2023,116,101
Chouette hulotte,2023,29,83
Cigogne blanche,2023,14,20
Cigogne noire,2022,5,6
Cincle plongeur,2023,1,3
Circaète Jean-le-Blanc,2019,1,1
Cisticole des joncs,2020,1,0
Corbeau freux,2023,182,113
Corneille noire,2023,371,262
Coucou gris,2023,62,55
Cygne tuberculé,2023,34,19
Échasse blanche,2012,0,1
Effraie des clochers,2022,13,34
Élanion blanc,2022,1,0
Engoulevent d'Europe,2020,6,0
Épervier d'Europe,2023,31,64
Étourneau sansonnet,2023,414,249
Faisan de Colchide,2022,11,11
Faucon crécerelle,2023,118,299
Faucon émerillon,2022,1,2
Faucon hobereau,2023,8,10
Faucon kobez,2013,0,1
Faucon pèlerin,2022,1,3
Fauvette à tête noire,2023,740,297
Fauvette des jardins,2022,6,9
Fauvette grisette,2023,65,53
Foulque macroule,2023,28,85
Fuligule milouin,2023,3,27
Fuligule morillon,2012,0,11
Gallinule poule-d'eau,2023,112,227
Geai des chênes,2023,187,193
Gobemouche à collier,2008,0,1
Gobemouche gris,2022,10,3
Gobemouche noir,2022,11,1
Goéland argenté,2021,2,0
Goéland cendré,2021,1,0
Goéland leucophée,2023,4,2
Grand Cormoran,2023,218,238
Grand-duc d'Europe,2023,17,53
Grande Aigrette,2023,72,134
Grèbe à cou noir,2013,0,1
Grèbe castagneux,2022,7,58
Grèbe huppé,2023,45,108
Grimpereau des jardins,2023,176,101
Grive draine,2023,20,37
Grive litorne,2018,0,5
Grive mauvis,2020,2,3
Grive musicienne,2022,31,21
Grosbec casse-noyaux,2023,13,20
Guêpier d'Europe,2023,15,7
Guifette moustac,2019,1,0
Guifette noire,2016,0,1
Harle bièvre,2022,15,1
Harle huppé,2013,0,1
Héron cendré,2023,230,430
Héron garde-boeufs,2023,74,114
Héron pourpré,2015,0,1
Hibou moyen-duc,2021,5,31
Hirondelle de fenêtre,2023,108,227
Hirondelle de rivage,2023,18,13
Hirondelle de rochers,2022,1,0
Hirondelle rustique,2023,175,248
Huppe fasciée,2023,100,66
Hypolaïs polyglotte,2023,53,57
Linotte mélodieuse,2023,62,61
Loriot d'Europe,2023,111,111
Martinet noir,2023,185,166
Martin-pêcheur d'Europe,2023,94,99
Merle noir,2023,848,423
Mésange à longue queue,2023,86,136
Mésange bleue,2023,375,263
Mésange charbonnière,2023,705,387
Mésange huppée,2020,1,2
Mésange noire,2022,1,4
Mésange nonnette,2022,3,6
Milan noir,2023,177,203
Milan royal,2023,67,68
Moineau domestique,2023,638,251
Moineau friquet,2017,0,7
Mouette rieuse,2023,22,36
Nette rousse,2022,10,2
Oedicnème criard,2023,19,13
Oie cendrée,2007,0,2
Oie des moissons,2008,0,4
Ouette d'Egypte,2021,1,0
Perdrix grise,2020,2,1
Perdrix rouge,2023,1,3
Perruche à collier,2020,1,0
Petit Gravelot,2023,11,17
Pic épeiche,2023,119,141
Pic épeichette,2022,13,5
Pic mar,2022,6,3
Pic noir,2022,6,7
Pic vert,2023,147,212
Pie bavarde,2023,365,320
Pie-grièche écorcheur,2023,31,61
Pigeon biset domestique,2023,47,27
Pigeon colombin,2016,0,2
Pigeon ramier,2023,809,485
Pinson des arbres,2023,421,354
Pinson du Nord,2022,7,8
Pipit des arbres,2022,8,13
Pipit farlouse,2022,1,10
Pluvier doré,2010,0,1
Pouillot de Bonelli,2020,3,0
Pouillot fitis,2023,11,3
Pouillot véloce,2023,332,198
Râle d'eau,2023,5,2
Rémiz penduline,2015,0,2
Roitelet à triple bandeau,2023,81,48
Roitelet huppé,2020,2,11
Rossignol philomèle,2023,242,208
Rougegorge familier,2023,538,305
Rougequeue à front blanc,2023,202,53
Rougequeue noir,2023,250,256
Rousserolle effarvatte,2018,0,1
Sarcelle d'été,2022,1,0
Sarcelle d'hiver,2022,5,17
Serin cini,2023,66,61
Sittelle torchepot,2023,60,55
Tadorne casarca,2011,0,1
Tadorne de Belon,2022,3,4
Tarier des prés,2021,4,8
Tarier pâtre,2023,139,187
Tarin des aulnes,2023,27,27
Torcol fourmilier,2021,9,10
Tournepierre à collier,2012,0,1
Tourterelle des bois,2023,37,56
Tourterelle turque,2023,352,196
Traquet motteux,2021,2,5
Troglodyte mignon,2023,163,182
Vanneau huppé,2022,17,73
Vautour fauve,2009,0,1
Verdier d'Europe,2023,138,117
