frname,lastobs,newcount,oldcount
Accenteur mouchet,2023,60,33
Aigle botté,2018,0,1
Aigle royal,2023,3,0
Aigrette garzette,2023,383,261
Alouette des champs,2023,205,156
Alouette lulu,2023,31,16
Astrild ondulé,2017,0,1
Autour des palombes,2023,7,1
Avocette élégante,2023,6,0
Barge à queue noire,2018,0,1
Bécasseau sanderling,2021,3,0
Bécasseau variable,2023,28,1
Bécasse des bois,2020,1,2
Bécassine des marais,2023,21,21
Bec-croisé des sapins,2023,3,1
Bergeronnette des ruisseaux,2023,266,99
Bergeronnette grise,2023,529,231
Bergeronnette printanière,2023,69,15
Bihoreau gris,2023,79,39
Blongios nain,2023,11,5
Bondrée apivore,2023,93,20
Bouscarle de Cetti,2023,515,204
Bouvreuil pivoine,2020,3,4
Bruant des roseaux,2023,64,41
Bruant fou,2023,4,5
Bruant jaune,2022,2,1
Bruant nain,2017,0,2
Bruant ortolan,2019,1,3
Bruant proyer,2023,42,12
Bruant zizi,2023,350,144
Busard cendré,2022,3,1
Busard des roseaux,2023,104,20
Busard Saint-Martin,2023,5,2
Buse variable,2023,551,278
Butor étoilé,2018,0,4
Caille des blés,2023,5,8
Canard carolin,2015,0,3
Canard chipeau,2023,39,31
Canard colvert,2023,478,293
Canard mandarin,2022,4,0
Canard pilet,2023,40,0
Canard siffleur,2023,28,14
Canard souchet,2023,61,21
Chardonneret élégant,2023,706,314
Chevalier aboyeur,2023,10,8
Chevalier arlequin,2021,1,0
Chevalier culblanc,2023,119,54
Chevalier gambette,2022,5,2
Chevalier guignette,2023,453,178
Chevalier sylvain,2023,13,1
Chevêche d'Athéna,2023,57,51
Choucas des tours,2023,342,163
Chouette hulotte,2023,22,18
Cigogne blanche,2023,319,143
Cigogne noire,2023,17,3
Cincle plongeur (C.c.cinclus),2022,22,30
Circaète Jean-le-Blanc,2023,122,36
Cisticole des joncs,2023,204,20
Combattant varié,2023,3,0
Corbeau freux,2023,49,31
Corneille noire,2023,767,459
Coucou gris,2023,24,19
Courlis cendré,2023,5,3
Crabier chevelu,2023,11,3
Cygne tuberculé,2023,624,321
Échasse blanche,2018,0,4
Effraie des clochers,2022,2,2
Engoulevent d'Europe,2021,6,3
Épervier d'Europe,2023,178,88
Étourneau roselin,2021,1,0
Étourneau sansonnet,2023,397,115
Faisan de Colchide,2023,34,27
Faucon crécerelle,2023,589,247
Faucon émerillon,2023,9,4
Faucon hobereau,2023,59,28
Faucon kobez,2022,9,1
Faucon pèlerin,2023,16,13
Fauvette à tête noire,2023,941,362
Fauvette babillarde,2016,0,1
Fauvette des jardins,2023,2,2
Fauvette grisette,2023,26,19
Fauvette mélanocéphale,2023,68,24
Fauvette passerinette,2023,7,14
Fauvette pitchou,2014,0,1
Flamant rose,2023,1,0
Foulque macroule,2023,343,287
Fuligule milouin,2023,237,261
Fuligule morillon,2023,83,170
Fuligule nyroca,2023,192,219
Gallinule poule-d'eau,2023,181,94
Geai des chênes,2023,257,131
Gobemouche gris,2023,13,9
Gobemouche noir,2023,173,43
Goéland argenté,2013,0,5
Goéland brun,2023,33,24
Goéland cendré,2023,11,23
Goéland leucophée,2023,779,298
Goéland pontique,2015,0,10
Grand Corbeau,2023,21,15
Grand Cormoran,2023,1120,440
Grand-duc d'Europe,2023,25,18
Grande Aigrette,2023,416,291
Grand Gravelot,2023,14,1
Grèbe à cou noir,2020,1,1
Grèbe castagneux,2023,126,87
Grèbe esclavon,2021,7,0
Grèbe huppé,2023,361,293
Grèbe jougris,2017,0,56
Grimpereau des jardins,2023,236,159
Grive draine,2023,21,8
Grive litorne,2023,23,42
Grive mauvis,2023,41,29
Grive musicienne,2023,117,43
Grosbec casse-noyaux,2023,43,28
Guêpier d'Europe,2023,241,67
Guifette leucoptère,2021,2,0
Guifette moustac,2023,9,0
Guifette noire,2023,19,1
Harle bièvre,2023,46,4
Harle huppé,2022,28,8
Héron cendré,2023,805,389
Héron garde-boeufs,2023,116,61
Héron pourpré,2023,25,7
Hibou moyen-duc,2019,4,0
Hirondelle de fenêtre,2023,205,65
Hirondelle de rivage,2023,58,11
Hirondelle de rochers,2023,68,11
Hirondelle rousseline,2019,2,0
Hirondelle rustique,2023,451,162
Huppe fasciée,2023,35,19
Hypolaïs polyglotte,2023,168,95
Ibis falcinelle,2023,3,2
Ibis sacré,2016,0,1
Inséparable de Fischer,2015,0,1
Linotte mélodieuse,2023,79,31
Locustelle luscinioïde,2017,0,2
Locustelle tachetée,2023,4,8
Loriot d'Europe,2023,202,91
Macreuse brune,2022,2,1
Macreuse noire,2023,3,0
Martinet à ventre blanc,2023,57,11
Martinet noir,2023,184,83
Martin-pêcheur d'Europe,2023,397,196
Merle à plastron,2023,2,0
Merle noir,2023,969,620
Mésange à longue queue,2023,197,116
Mésange bleue,2023,376,225
Mésange charbonnière,2023,824,481
Mésange huppée,2018,0,4
Mésange noire,2022,12,14
Mésange nonnette,2023,13,3
Milan noir,2023,573,285
Milan royal,2023,152,60
Moineau domestique,2023,519,201
Moineau friquet,2023,52,38
Monticole bleu,2016,0,7
Mouette mélanocéphale,2023,4,2
Mouette pygmée,2023,8,4
Mouette rieuse,2023,320,131
Mouette tridactyle,2022,7,1
Nette rousse,2023,39,59
Oedicnème criard,2020,1,0
Oie cendrée,2023,37,11
Ouette d'Égypte,2023,132,9
Perdrix grise,2017,0,1
Perdrix rouge,2023,13,18
Petit-duc scops,2023,20,6
Petit Gravelot,2023,34,18
Phragmite des joncs,2023,4,2
Pic épeiche,2023,322,216
Pic épeichette,2023,47,48
Pic noir,2023,1,1
Pic vert,2023,454,352
Pie bavarde,2023,710,417
Pie-grièche écorcheur,2023,21,7
Pie-grièche grise,2021,1,0
Pigeon biset domestique,2023,166,53
Pigeon colombin,2023,18,5
Pigeon ramier,2023,1028,416
Pinson des arbres,2023,801,407
Pinson du Nord,2023,50,27
Pipit des arbres,2023,92,11
Pipit farlouse,2023,165,50
Pipit rousseline,2022,1,0
Pipit spioncelle,2023,16,17
Pouillot de Bonelli,2023,31,29
Pouillot fitis,2023,152,22
Pouillot siffleur,2022,5,2
Pouillot véloce,2023,316,153
Râle d'eau,2023,16,12
Rémiz penduline,2023,3,9
Roitelet à triple bandeau,2023,50,40
Roitelet huppé,2022,2,9
Rollier d'Europe,2023,10,0
Rossignol philomèle,2023,530,278
Rougegorge familier,2023,717,327
Rougequeue à front blanc,2023,28,34
Rougequeue noir,2023,303,138
Rousserolle effarvatte,2023,91,95
Rousserolle turdoïde,2023,35,9
Sarcelle d'été,2023,13,13
Sarcelle d'hiver,2023,33,26
Serin cini,2023,268,219
Sittelle torchepot,2023,26,14
Sizerin cabaret,2018,0,1
Sizerin flammé,2018,0,1
Spatule blanche,2023,10,0
Sterne caspienne,2023,47,0
Sterne pierregarin,2023,67,16
Tadorne de Belon,2023,18,17
Tarier des prés,2023,14,14
Tarier pâtre,2023,38,11
Tarin des aulnes,2023,118,74
Torcol fourmilier,2019,1,1
Tournepierre à collier,2022,4,0
Tourterelle des bois,2023,139,117
Tourterelle turque,2023,472,236
Traquet motteux,2023,21,10
Troglodyte mignon,2023,199,142
Vanneau huppé,2023,15,4
Vautour fauve,2023,10,5
Verdier d'Europe,2023,355,255
